"run";"random_seed";"IRR";"tick";"Meta: Case";"Meta: Scenario";"name";"region";"technologyID";"Loadfactor";"Capacity";"capex";"opex";"specificRRR";"myCompanyRRR";"myCompany";"LRMC";"ownrLRMC";"certpriceneeded";"certpriceneeded_ownRRR";"StartTick";"startyear";"endyear";"endtick";"myinvestmentdecisiontype";"status";"estimannualprod";"exougenousflagg"
1;1;0.0;287.0;"2016_H1_BaseCase";"Normal";"Wind_Sweden_227";"Sweden";2;0.34;88.0;1.39022563E8;13.3;0.06202866261747517;0.05098440112793414;"Company 211";54.59117696262281;47.95975445926143;45.34519306370404;Infinity;0;0;0;0;3;3;262099.2;0
1;1;0.0;287.0;"2016_H1_BaseCase";"Normal";"Wind_Sweden_171";"Sweden";2;0.38;30.0;4.6980874E7;13.0;0.06202866261747517;0.06196621923017008;"Company 7";49.62265291325481;47.19035431754063;38.844452439428004;Infinity;0;0;0;0;1;3;99864.0;0
1;1;0.07882253511864584;287.0;"2016_H1_BaseCase";"Normal";"Wind_Sweden_287";"Sweden";2;0.29;14.0;2.0235561E7;15.5;0.0;0.0;"Company 85";38.258576827046355;0.0;16.14551786077552;0.0;58;2016;2031;238;3;1;35565.6;1
1;1;0.16873255082414607;287.0;"2016_H1_BaseCase";"Normal";"FosenSnillfjord_2020";"Norway";2;0.346;579.0;7.880448923848397E8;17.453061224489797;0.0;0.0;"Company 145";35.41495737811506;0.0;15.036914964759452;0.0;96;2020;2035;276;3;1;1754925.8399999999;1
1;1;0.0;287.0;"2016_H1_BaseCase";"Normal";"Overgang_2012_2026_1";"Sweden";3;1.0;71.0;0.0;0.0;0.0;0.0;"Company 91";0.0;0.0;-28.571266110581043;0.0;0;2012;2026;180;3;1;621960.0;1
1;1;0.0;287.0;"2016_H1_BaseCase";"Normal";"Wind_Sweden_66";"Sweden";2;0.34;132.0;2.17500694E8;14.5;0.06202866261747517;0.0671649727021552;"Company 199";57.56667662019377;56.69229697455904;49.23829115667823;Infinity;0;0;0;0;2;3;393148.80000000005;0
1;1;0.08170855448530834;287.0;"2016_H1_BaseCase";"Normal";"Wind_Sweden_265";"Sweden";2;0.34;52.0;8.2761591E7;14.4;0.0;0.0;"Company 91";35.77481946941053;0.0;12.005922264715817;0.0;0;2012;2026;180;3;1;154876.8;1
1;1;0.13481222531620757;287.0;"2016_H1_BaseCase";"Normal";"Wind_Norway_53";"Norway";2;0.37;200.0;2.75127793E8;17.3;0.06871873429234782;0.07262003932948219;"Company 151";52.727997598132816;53.99068400616228;45.91590391117183;47.043667956763066;71;2017;2032;251;1;1;648240.0;0
1;1;0.0;287.0;"2016_H1_BaseCase";"Normal";"Wind_Sweden_99";"Sweden";2;0.41;7.5;1.0593503E7;11.3;0.06202866261747517;0.04704657385894979;"Company 175";41.914560866852256;35.998203152720436;28.759303086456285;Infinity;0;0;0;0;1;3;26936.999999999996;0
1;1;0.15145634155715867;287.0;"2016_H1_BaseCase";"Normal";"Wind_Sweden_188";"Sweden";2;0.4;225.0;3.69148535E8;11.7;0.06202866261747517;0.04704657385894979;"Company 175";48.44290783933104;43.43233967454239;39.12348362529561;34.13071246306954;74;2018;2033;254;1;1;788400.0;0
