"random_seed";"IRR";"tick";"Meta: Case";"Meta: Scenario";"name";"region";"technologyID";"Loadfactor";"Capacity";"capex";"opex";"specificRRR";"myCompanyRRR";"myCompany";"LRMC";"ownrLRMC";"certpriceneeded";"certpriceneeded_ownRRR";"StartTick";"startyear";"endyear";"endtick";"myinvestmentdecisiontype";"status";"estimannualprod";"exougenousflagg"
7;0.0;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_239";"Sweden";2;0.28;9.0;1.2804639E7;15.6;0.06202866261747517;0.048807698148146984;"Company 983";37.756946700823754;0.0;28.972535657497392;0.0;0;0;0;0;4;0;22075.200000000004;0
7;0.0;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_Auto7";"Sweden";2;0.25;30.0;4.3684615E7;16.5;0.06202866261747517;0.06647346162697935;"Company 893";0.0;0.0;0.0;0.0;0;0;0;0;2;5;65700.0;0
7;0.0036202330360281905;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_111";"Sweden";2;0.3;18.0;2.6644583E7;13.8;0.06202866261747517;0.06885800182541128;"Company 947";57.29781133673447;60.12813055496255;40.96338165366362;43.87736630273496;108;2021;2035;276;1;1;47303.99999999999;0
7;-0.004088795826392403;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_97";"Sweden";2;0.32;18.0;2.8052856E7;15.5;0.06202866261747517;0.06526217122541703;"Company 995";58.43454218763879;59.74799955805952;42.5163588025638;43.85479324818202;112;2021;2035;280;2;1;50457.6;0
7;0.0;287.0;"Q2 2015 Base Case";"Normal";"Bio_SE_2018";"Sweden";3;1.0;24.0;0.0;0.0;0.0;0.0;"Company 989";0.0;0.0;-39.414650352308186;0.0;73;2018;2033;253;1;1;210240.0;1
7;0.013895351660793481;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_221";"Sweden";2;0.29;70.0;1.14508346E8;17.0;0.0;0.0;"Company 1097";42.75710146883506;0.0;5.570751860878128;0.0;0;2012;2026;180;2;1;177827.99999999997;1
7;0.0;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_152";"Sweden";2;0.29;10.0;1.4596755E7;15.2;0.06202866261747517;0.05051935316239758;"Company 1049";0.0;0.0;0.0;0.0;0;0;0;0;3;0;25404.0;0
7;0.0;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_255";"Sweden";2;0.29;141.0;2.32128586E8;15.3;0.06202866261747517;0.05553871266788361;"Company 971";62.42526757223226;59.58901377391072;Infinity;Infinity;0;0;0;0;4;3;358196.4;0
7;-0.005864804863919058;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_175";"Sweden";2;0.29;33.0;4.9916691E7;14.4;0.06202866261747517;0.06553485582732121;"Company 989";60.38181265455742;61.907942934148636;45.176677677033524;46.735180765089375;117;2021;2035;285;1;1;83833.19999999998;0
7;0.0;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_190";"Sweden";2;0.34;400.0;7.06161689E8;14.4;0.06202866261747517;0.0738357705424637;"Company 1055";0.0;0.0;0.0;0.0;0;0;0;0;3;0;1191360.0;0
7;0.0;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_90";"Sweden";2;0.3;102.0;1.69810556E8;16.0;0.06202866261747517;0.057433803612209455;"Company 1079";62.066537565207426;60.09570376897146;Infinity;Infinity;0;0;0;0;2;3;268056.0;0
7;0.0;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_126";"Sweden";2;0.34;13.8;2.1044451E7;13.3;0.06202866261747517;0.048807698148146984;"Company 983";50.53247536267007;46.03417325589908;Infinity;Infinity;0;0;0;0;4;3;41101.92;0
7;0.0;287.0;"Q2 2015 Base Case";"Normal";"Overgang_2012_2019";"Sweden";3;1.0;30.0;0.0;0.0;0.0;0.0;"Company 1037";0.0;0.0;-21.021146854564368;0.0;0;2012;2019;96;1;1;262800.0;1
7;0.0;287.0;"Q2 2015 Base Case";"Normal";"Wind_Norway_Auto12";"Norway";2;0.3;30.0;4.3684615E7;15.4;0.07803289457129652;0.08408271403211327;"Company 881";0.0;0.0;0.0;0.0;0;0;0;0;2;5;78840.0;0
7;0.0;287.0;"Q2 2015 Base Case";"Normal";"Wind_Norway_21";"Norway";2;0.3;92.0;1.46280435E8;19.3;0.07803289457129652;0.09004649412524182;"Company 1091";70.12101980157908;75.4921780463023;Infinity;Infinity;0;0;0;0;1;3;241775.99999999997;0
7;0.027379008179502753;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_21";"Sweden";2;0.33;135.0;2.19471464E8;14.6;0.0;0.0;"Company 923";37.095012427676046;0.0;-3.866063207720231;0.0;46;2015;2030;226;1;1;390258.00000000006;1
7;0.0;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_24";"Sweden";2;0.32;165.0;2.85769504E8;15.1;0.06202866261747517;0.0579378429940478;"Company 1037";0.0;0.0;0.0;0.0;0;0;0;0;1;0;462528.00000000006;0
7;0.047609619160301896;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_214";"Sweden";2;0.39;25.4;4.7829595E7;11.6;0.0;0.0;"Company 1007";33.64724178971832;0.0;-9.612347604316437;0.0;19;2013;2028;199;3;1;86776.56000000001;1
7;0.021129376875970888;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_113";"Sweden";2;0.29;16.0;2.3599311E7;15.2;0.0;0.0;"Company 1001";38.42401098252244;0.0;-1.6510656163095745;0.0;47;2015;2030;227;2;1;40646.399999999994;1
7;0.0;287.0;"Q2 2015 Base Case";"Normal";"Wind_Norway_Auto4";"Norway";2;0.3;30.0;4.3684615E7;15.4;0.07803289457129652;0.08362451170220542;"Company 893";0.0;0.0;0.0;0.0;0;0;0;0;2;5;78840.0;0
7;0.0;287.0;"Q2 2015 Base Case";"Normal";"Overgang_2012_2027";"Sweden";3;1.0;35.0;0.0;0.0;0.0;0.0;"Company 1067";0.0;0.0;-42.042293709128735;0.0;0;2012;2026;180;2;1;306600.0;1
7;0.0;287.0;"Q2 2015 Base Case";"Normal";"Wind_Norway_18";"Norway";2;0.34;10.0;1.5278141E7;20.2;0.07803289457129652;0.09213948644213785;"Company 953";63.28814635569876;68.65214319810651;Infinity;Infinity;0;0;0;0;2;3;29784.000000000004;0
7;0.0;287.0;"Q2 2015 Base Case";"Normal";"Overgang_2012_2026_1";"Sweden";3;1.0;71.0;0.0;0.0;0.0;0.0;"Company 887";0.0;0.0;-39.414650352308186;0.0;0;2012;2026;180;1;1;621960.0;1
7;0.0;287.0;"Q2 2015 Base Case";"Normal";"Hydro_SE_2012";"Sweden";1;1.0;1.0;0.0;0.0;0.0;0.0;"Company 947";0.0;0.0;-39.414650352308186;0.0;0;2012;2026;180;1;1;8760.0;1
7;0.0;287.0;"Q2 2015 Base Case";"Normal";"Bio_SE_2016";"Sweden";3;1.0;49.0;0.0;0.0;0.0;0.0;"Company 911";0.0;0.0;-39.414650352308186;0.0;59;2016;2031;239;2;1;429240.0;1
7;0.02408745268175685;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_71";"Sweden";2;0.3;46.0;7.3068551E7;16.1;0.0;0.0;"Company 989";40.27727185494011;0.0;1.4377025043865388;0.0;0;2012;2026;180;1;1;120887.99999999999;1
7;0.0;287.0;"Q2 2015 Base Case";"Normal";"Wind_Norway_Auto5";"Norway";2;0.3;30.0;4.3684615E7;15.4;0.07803289457129652;0.08408271403211327;"Company 881";0.0;0.0;0.0;0.0;0;0;0;0;2;5;78840.0;0
7;-0.005723989600387649;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_74";"Sweden";2;0.28;90.0;1.49032855E8;17.5;0.0;0.0;"Company 947";44.504576175980276;0.0;8.483209706120146;0.0;46;2015;2030;226;1;1;220752.00000000003;1
7;0.0;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_132";"Sweden";2;0.33;7.1;1.0078496E7;13.6;0.06202866261747517;0.05553871266788361;"Company 971";0.0;0.0;0.0;0.0;0;0;0;0;4;0;20524.68;0
