"tick";"Running scenario number";"random_seed";"Certificate price (Euro)";"Power price Norway (Euro)";"Power price Sweden (Euro)";"Number of plants i Norway (acc)";"Number of plants i Sweden (acc)";"Added annual production Norway (acc) (MWh)";"Added annual production Sweden (acc) (MWh)";"Eligible annual production Norway (MWh)";"Eligible annual production Sweden (MWh)";"Eligible annual production Total (MWh)";"Added wind capacity Norway (acc) (MW)";"Added wind capacity Sweden (acc) (MW)";"Added hydro capacity Norway (acc) (MW)";"Added hydro capacity Sweden (acc) (MW)";"Added all other capacity Norway (acc) (MW)";"Added all other capacity Sweden (acc) (MW)";"Certificate balance (MW)";"Total capacity added Norway (acc) (MW)";"Total capacity added Sweden (acc) (MW)";"Added wind production Norway (acc) (MWh)";"Added hydo production Norway (acc) (MWh)";"Added all other production Norway (acc) (MWh)";"Added hydro production Sweden (acc) (MWh)";"Added all other production Sweden (acc) (MWh)";"Added wind production Sweden (acc) (MWh)"
0.0;0.0;16;20.2;32.0601227277;34.3958560914425;2.0;52.0;48004.8;2.2171743959999993E7;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;2380.0;5955732.92102518;6.6;2880.85;4204.8;43800.0;0.0;8760.0;2.08488E7;1314183.96
1.0;0.0;16;18.37;32.0601227277;34.3958560914425;2.0;52.0;48004.8;2.2171743959999993E7;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;2380.0;6703355.331585715;6.6;2880.85;4204.8;43800.0;0.0;8760.0;2.08488E7;1314183.96
2.0;0.0;16;24.92;32.0601227277;34.3958560914425;2.0;52.0;48004.8;2.2171743959999993E7;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;2380.0;-1557598.3090341915;6.6;2880.85;4204.8;43800.0;0.0;8760.0;2.08488E7;1314183.96
3.0;0.0;16;18.77;32.0601227277;34.3958560914425;2.0;52.0;48004.8;2.2171743959999993E7;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;2380.0;1747881.552102628;6.6;2880.85;4204.8;43800.0;0.0;8760.0;2.08488E7;1314183.96
4.0;0.0;16;18.26;32.0601227277;34.3958560914425;2.0;52.0;48004.8;2.2171743959999993E7;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;2380.0;2994713.3820487736;6.6;2880.85;4204.8;43800.0;0.0;8760.0;2.08488E7;1314183.96
5.0;0.0;16;18.37;32.0601227277;34.3958560914425;2.0;52.0;48004.8;2.2171743959999993E7;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;2380.0;2854005.538042886;6.6;2880.85;4204.8;43800.0;0.0;8760.0;2.08488E7;1314183.96
6.0;0.0;16;19.81;32.0601227277;34.3958560914425;2.0;52.0;48004.8;2.2171743959999993E7;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;2380.0;1054022.1260676875;6.6;2880.85;4204.8;43800.0;0.0;8760.0;2.08488E7;1314183.96
7.0;0.0;16;20.22;32.0601227277;34.3958560914425;2.0;52.0;48004.8;2.2171743959999993E7;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;2380.0;1079262.8571597063;6.6;2880.85;4204.8;43800.0;0.0;8760.0;2.08488E7;1314183.96
8.0;0.0;16;20.99;32.0601227277;34.3958560914425;2.0;52.0;48004.8;2.2171743959999993E7;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;2380.0;-77621.4146299623;6.6;2880.85;4204.8;43800.0;0.0;8760.0;2.08488E7;1314183.96
9.0;0.0;16;22.33;32.0601227277;34.3958560914425;2.0;52.0;48004.8;2.2171743959999993E7;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;2380.0;293850.96043332154;6.6;2880.85;4204.8;43800.0;0.0;8760.0;2.08488E7;1314183.96
10.0;0.0;16;22.92;32.0601227277;34.3958560914425;2.0;52.0;48004.8;2.2171743959999993E7;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;2380.0;1546538.1224909634;6.6;2880.85;4204.8;43800.0;0.0;8760.0;2.08488E7;1314183.96
11.0;0.0;16;24.09;32.0601227277;34.3958560914425;2.0;52.0;48004.8;2.2171743959999993E7;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;2380.0;3153187.53757109;6.6;2880.85;4204.8;43800.0;0.0;8760.0;2.08488E7;1314183.96
12.0;0.0;16;23.71;39.63250876833333;40.95295783999999;3.0;55.0;58779.600000000006;2.2440675959999993E7;58779.600000000006;1591875.96;1650655.56;4.6;584.85;5.0;6.0;0.0;2380.0;2133374.7279243697;9.6;2970.85;14979.599999999999;43800.0;0.0;52560.0;2.08488E7;1539315.96
13.0;0.0;16;25.15;39.63250876833333;40.95295783999999;3.0;59.0;58779.600000000006;2.289030923999999E7;58779.600000000006;2041509.2399999998;2100288.84;4.6;718.7;5.0;6.0;0.0;2380.0;949440.381398119;9.6;3104.7;14979.599999999999;43800.0;0.0;52560.0;2.08488E7;1988949.2399999998
14.0;0.0;16;23.19;39.63250876833333;40.95295783999999;3.0;63.0;58779.600000000006;2.321085953999999E7;58779.600000000006;2362059.54;2420839.14;4.6;831.5500000000001;5.0;6.0;0.0;2380.0;2294395.8999439287;9.6;3217.55;14979.599999999999;43800.0;0.0;52560.0;2.08488E7;2309499.54
15.0;0.0;16;24.68;39.63250876833333;40.95295783999999;4.0;65.0;226446.0;2.3256586739999995E7;226446.0;2407786.74;2634232.74;62.6;849.5500000000001;5.0;6.0;0.0;2380.0;1923323.084601082;67.6;3235.55;182646.0;43800.0;0.0;52560.0;2.08488E7;2355226.74
16.0;0.0;16;21.61;39.63250876833333;40.95295783999999;4.0;66.0;226446.0;2.3272354739999995E7;226446.0;2423554.74;2650000.74;62.6;855.5500000000001;5.0;6.0;0.0;2380.0;3122280.964971809;67.6;3241.55;182646.0;43800.0;0.0;52560.0;2.08488E7;2370994.74
17.0;0.0;16;20.09;39.63250876833333;40.95295783999999;4.0;69.0;226446.0;2.363834753999999E7;226446.0;2789547.54;3015993.54;62.6;989.5500000000001;5.0;6.0;0.0;2380.0;3804782.5071592787;67.6;3375.55;182646.0;43800.0;0.0;52560.0;2.08488E7;2736987.54
18.0;0.0;16;21.17;39.63250876833333;40.95295783999999;5.0;70.0;1426566.0;2.401126073999999E7;1426566.0;3162460.74;4589026.74;62.6;1118.5500000000002;142.0;6.0;0.0;2380.0;3042675.810848575;204.6;3504.55;182646.0;1243920.0;0.0;52560.0;2.08488E7;3109900.74
