"tick";"Running scenario number";"random_seed";"Certificate price (Euro)";"Power price Norway (Euro)";"Power price Sweden (Euro)";"Number of plants i Norway (acc)";"Number of plants i Sweden (acc)";"Added annual production Norway (acc) (MWh)";"Added annual production Sweden (acc) (MWh)";"Eligible annual production Norway (MWh)";"Eligible annual production Sweden (MWh)";"Eligible annual production Total (MWh)";"Added wind capacity Norway (acc) (MW)";"Added wind capacity Sweden (acc) (MW)";"Added hydro capacity Norway (acc) (MW)";"Added hydro capacity Sweden (acc) (MW)";"Added all other capacity Norway (acc) (MW)";"Added all other capacity Sweden (acc) (MW)";"Certificate balance (MW)";"Total capacity added Norway (acc) (MW)";"Total capacity added Sweden (acc) (MW)";"Added wind production Norway (acc) (MWh)";"Added hydo production Norway (acc) (MWh)";"Added all other production Norway (acc) (MWh)";"Added hydro production Sweden (acc) (MWh)";"Added all other production Sweden (acc) (MWh)";"Added wind production Sweden (acc) (MWh)"
0.0;0.0;2;20.2;32.0601227277;34.3958560914425;2.0;52.0;48004.8;2.2171743959999993E7;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;2380.0;7159884.191166673;6.6;2880.85;4204.8;43800.0;0.0;8760.0;2.08488E7;1314183.96
1.0;0.0;2;18.37;32.0601227277;34.3958560914425;2.0;52.0;48004.8;2.2171743959999993E7;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;2380.0;7307872.541894373;6.6;2880.85;4204.8;43800.0;0.0;8760.0;2.08488E7;1314183.96
2.0;0.0;2;24.92;32.0601227277;34.3958560914425;2.0;52.0;48004.8;2.2171743959999993E7;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;2380.0;-1227645.0139518934;6.6;2880.85;4204.8;43800.0;0.0;8760.0;2.08488E7;1314183.96
3.0;0.0;2;18.77;32.0601227277;34.3958560914425;2.0;52.0;48004.8;2.2171743959999993E7;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;2380.0;2051878.7090228896;6.6;2880.85;4204.8;43800.0;0.0;8760.0;2.08488E7;1314183.96
4.0;0.0;2;18.26;32.0601227277;34.3958560914425;2.0;52.0;48004.8;2.2171743959999993E7;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;2380.0;2817744.9743538257;6.6;2880.85;4204.8;43800.0;0.0;8760.0;2.08488E7;1314183.96
5.0;0.0;2;18.37;32.0601227277;34.3958560914425;2.0;52.0;48004.8;2.2171743959999993E7;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;2380.0;3152802.8591321283;6.6;2880.85;4204.8;43800.0;0.0;8760.0;2.08488E7;1314183.96
6.0;0.0;2;19.81;32.0601227277;34.3958560914425;2.0;52.0;48004.8;2.2171743959999993E7;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;2380.0;1262626.229674229;6.6;2880.85;4204.8;43800.0;0.0;8760.0;2.08488E7;1314183.96
7.0;0.0;2;20.22;32.0601227277;34.3958560914425;2.0;52.0;48004.8;2.2171743959999993E7;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;2380.0;750763.3311898313;6.6;2880.85;4204.8;43800.0;0.0;8760.0;2.08488E7;1314183.96
8.0;0.0;2;20.99;32.0601227277;34.3958560914425;2.0;52.0;48004.8;2.2171743959999993E7;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;2380.0;606130.3981747804;6.6;2880.85;4204.8;43800.0;0.0;8760.0;2.08488E7;1314183.96
9.0;0.0;2;22.33;32.0601227277;34.3958560914425;2.0;52.0;48004.8;2.2171743959999993E7;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;2380.0;-730028.6106639039;6.6;2880.85;4204.8;43800.0;0.0;8760.0;2.08488E7;1314183.96
10.0;0.0;2;22.92;32.0601227277;34.3958560914425;2.0;52.0;48004.8;2.2171743959999993E7;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;2380.0;1291797.3510833713;6.6;2880.85;4204.8;43800.0;0.0;8760.0;2.08488E7;1314183.96
11.0;0.0;2;24.09;32.0601227277;34.3958560914425;2.0;52.0;48004.8;2.2171743959999993E7;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;2380.0;1622052.7429383826;6.6;2880.85;4204.8;43800.0;0.0;8760.0;2.08488E7;1314183.96
12.0;0.0;2;23.71;39.63250876833333;40.95295783999999;2.0;52.0;48004.8;2.2171743959999993E7;48004.8;1322943.96;1370948.76;1.6;499.85;5.0;1.0;0.0;2380.0;2864096.5895854486;6.6;2880.85;4204.8;43800.0;0.0;8760.0;2.08488E7;1314183.96
13.0;0.0;2;25.15;39.63250876833333;40.95295783999999;2.0;54.0;48004.8;2.2290091559999995E7;48004.8;1441291.56;1489296.36;1.6;522.85;5.0;6.0;0.0;2380.0;2859134.0695635173;6.6;2908.85;4204.8;43800.0;0.0;52560.0;2.08488E7;1388731.56
14.0;0.0;2;23.19;39.63250876833333;40.95295783999999;2.0;58.0;48004.8;2.2546413539999995E7;48004.8;1697613.54;1745618.34;1.6;620.0500000000001;5.0;6.0;0.0;2380.0;3393446.2046544417;6.6;3006.05;4204.8;43800.0;0.0;52560.0;2.08488E7;1645053.54
15.0;0.0;2;24.68;39.63250876833333;40.95295783999999;2.0;59.0;48004.8;2.2601601539999995E7;48004.8;1752801.54;1800806.34;1.6;642.5500000000001;5.0;6.0;0.0;2380.0;2142570.9625325464;6.6;3028.55;4204.8;43800.0;0.0;52560.0;2.08488E7;1700241.54
16.0;0.0;2;21.61;39.63250876833333;40.95295783999999;2.0;65.0;48004.8;2.2989722099999994E7;48004.8;2140922.1;2188926.9;1.6;759.95;5.0;6.0;0.0;2381.0;3208557.1195056867;6.6;3146.95;4204.8;43800.0;0.0;52560.0;2.085756E7;2079602.1
17.0;0.0;2;20.09;39.63250876833333;40.95295783999999;2.0;70.0;48004.8;2.3301227699999996E7;48004.8;2452427.7;2500432.5;1.6;878.95;5.0;6.0;0.0;2381.0;3091729.560523911;6.6;3265.95;4204.8;43800.0;0.0;52560.0;2.085756E7;2391107.7
18.0;0.0;2;21.17;39.63250876833333;40.95295783999999;3.0;72.0;58779.600000000006;2.3679572099999994E7;58779.600000000006;2830772.1;2889551.7;4.6;1009.95;5.0;6.0;0.0;2381.0;2896198.1778777186;9.6;3396.95;14979.599999999999;43800.0;0.0;52560.0;2.085756E7;2769452.1
19.0;0.0;2;21.05;39.63250876833333;40.95295783999999;3.0;75.0;58779.600000000006;2.5172749139999993E7;58779.600000000006;3123829.14;3182608.74;4.6;1103.3500000000001;5.0;6.0;0.0;2518.0;3091430.9153743926;9.6;3627.3500000000004;14979.599999999999;43800.0;0.0;52560.0;2.205768E7;3062509.14
20.0;0.0;2;22.44;39.63250876833333;40.95295783999999;5.0;75.0;1426566.0;2.5172749139999993E7;1426566.0;3123829.14;4550395.140000001;62.6;1103.3500000000001;142.0;6.0;0.0;2518.0;975631.7767758844;204.6;3627.3500000000004;182646.0;1243920.0;0.0;52560.0;2.205768E7;3062509.14
21.0;0.0;2;22.59;39.63250876833333;40.95295783999999;5.0;75.0;1426566.0;2.5172749139999993E7;1426566.0;3123829.14;4550395.140000001;62.6;1103.3500000000001;142.0;6.0;0.0;2518.0;1514755.5619902126;204.6;3627.3500000000004;182646.0;1243920.0;0.0;52560.0;2.205768E7;3062509.14
22.0;0.0;2;21.61;39.63250876833333;40.95295783999999;5.0;75.0;1426566.0;2.5172749139999993E7;1426566.0;3123829.14;4550395.140000001;62.6;1103.3500000000001;142.0;6.0;0.0;2518.0;1829394.4519630377;204.6;3627.3500000000004;182646.0;1243920.0;0.0;52560.0;2.205768E7;3062509.14
23.0;0.0;2;21.14;39.63250876833333;40.95295783999999;5.0;83.0;1426566.0;2.6035039739999995E7;1426566.0;3986119.7400000007;5412685.74;62.6;1402.3500000000001;142.0;6.0;0.0;2518.0;3843015.3289812757;204.6;3926.3500000000004;182646.0;1243920.0;0.0;52560.0;2.205768E7;3924799.7400000007
24.0;0.0;2;20.06;29.92803;32.1927575;5.0;85.0;1426566.0;2.6460355259999994E7;1426566.0;4411435.260000001;5838001.260000001;62.6;1551.15;142.0;6.0;0.0;2518.0;3841136.440567799;204.6;4075.15;182646.0;1243920.0;0.0;52560.0;2.205768E7;4350115.260000001
25.0;0.0;2;21.93;29.92803;32.1927575;5.0;87.0;1426566.0;2.6777817659999993E7;1426566.0;4728897.66;6155463.66;62.6;1663.15;142.0;6.0;0.0;2518.0;2263290.943155681;204.6;4187.15;182646.0;1243920.0;0.0;52560.0;2.205768E7;4667577.66
26.0;0.0;2;20.47;29.92803;32.1927575;5.0;88.0;1426566.0;2.685876005999999E7;1426566.0;4809840.0600000005;6236406.0600000005;62.6;1696.15;142.0;6.0;0.0;2518.0;1637339.9198491005;204.6;4220.15;182646.0;1243920.0;0.0;52560.0;2.205768E7;4748520.0600000005
27.0;0.0;2;19.48;29.92803;32.1927575;6.0;88.0;3730446.0;2.685876005999999E7;3730446.0;4809840.0600000005;8540286.06;62.6;1696.15;405.0;6.0;0.0;2518.0;4639427.888380371;467.6;4220.15;182646.0;3547800.0;0.0;52560.0;2.205768E7;4748520.0600000005
28.0;0.0;2;19.75;29.92803;32.1927575;6.0;91.0;3730446.0;2.711236205999999E7;3730446.0;5063442.0600000005;8793888.06;62.6;1785.15;405.0;6.0;0.0;2518.0;5467931.038333789;467.6;4309.15;182646.0;3547800.0;0.0;52560.0;2.205768E7;5002122.0600000005
29.0;0.0;2;19.58;29.92803;32.1927575;6.0;93.0;3730446.0;2.722449005999999E7;3730446.0;5175570.0600000005;8906016.06;62.6;1805.15;405.0;12.0;0.0;2518.0;5902382.755894653;467.6;4335.15;182646.0;3547800.0;0.0;105120.0;2.205768E7;5061690.0600000005
30.0;0.0;2;19.54;29.92803;32.1927575;6.0;96.0;3730446.0;2.818865069999999E7;3730446.0;5710490.700000001;9440936.700000001;62.6;1974.75;405.0;12.0;0.0;2567.0;3501595.271703715;467.6;4553.75;182646.0;3547800.0;0.0;105120.0;2.248692E7;5596610.700000001
31.0;0.0;2;20.2;29.92803;32.1927575;6.0;97.0;3730446.0;2.843174069999999E7;3730446.0;5953580.700000001;9684026.700000001;62.6;2049.75;405.0;12.0;0.0;2567.0;4045743.1383492183;467.6;4628.75;182646.0;3547800.0;0.0;105120.0;2.248692E7;5839700.700000001
32.0;0.0;2;20.75;29.92803;32.1927575;6.0;97.0;3730446.0;2.843174069999999E7;3730446.0;5953580.700000001;9684026.700000001;62.6;2049.75;405.0;12.0;0.0;2567.0;2717599.488759353;467.6;4628.75;182646.0;3547800.0;0.0;105120.0;2.248692E7;5839700.700000001
33.0;0.0;2;20.14;29.92803;32.1927575;7.0;98.0;3892068.0;2.844050069999999E7;3892068.0;5962340.700000001;9854408.700000001;107.6;2049.75;405.0;12.0;0.0;2568.0;3980093.9646438733;512.6;4629.75;344268.0;3547800.0;0.0;105120.0;2.249568E7;5839700.700000001
34.0;0.0;2;19.47;29.92803;32.1927575;7.0;98.0;3892068.0;2.844050069999999E7;3892068.0;5962340.700000001;9854408.700000001;107.6;2049.75;405.0;12.0;0.0;2568.0;5119706.569216752;512.6;4629.75;344268.0;3547800.0;0.0;105120.0;2.249568E7;5839700.700000001
35.0;0.0;2;18.2;29.92803;32.1927575;7.0;99.0;3892068.0;2.8497966299999993E7;3892068.0;6019806.300000001;9911874.3;107.6;2065.75;405.0;12.0;0.0;2568.0;6910555.921772592;512.6;4645.75;344268.0;3547800.0;0.0;105120.0;2.249568E7;5897166.300000001
36.0;0.0;2;16.726415720613566;26.7;27.6;7.0;101.0;3892068.0;2.9102669099999994E7;3892068.0;6624509.100000001;1.0516577100000001E7;107.6;2272.75;405.0;12.0;0.0;2568.0;1.2192475416395055E7;512.6;4852.75;344268.0;3547800.0;0.0;105120.0;2.249568E7;6501869.100000001
37.0;0.0;2;19.134664341539967;26.7;27.6;7.0;102.0;3892068.0;2.9143315499999993E7;3892068.0;6665155.500000001;1.05572235E7;107.6;2288.75;405.0;12.0;0.0;2568.0;1.2493968106893616E7;512.6;4868.75;344268.0;3547800.0;0.0;105120.0;2.249568E7;6542515.500000001
38.0;0.0;2;21.039466788029067;26.7;27.6;7.0;103.0;3892068.0;2.9546976299999993E7;3892068.0;7068816.300000001;1.09608843E7;107.6;2432.75;405.0;12.0;0.0;2568.0;1.235599810380327E7;512.6;5012.75;344268.0;3547800.0;0.0;105120.0;2.249568E7;6946176.300000001
39.0;0.0;2;22.48126703433392;26.7;27.6;7.0;104.0;3892068.0;2.9740659899999995E7;3892068.0;7262499.9;1.11545679E7;107.6;2499.75;405.0;12.0;0.0;2568.0;1.2734271786565147E7;512.6;5079.75;344268.0;3547800.0;0.0;105120.0;2.249568E7;7139859.9
40.0;0.0;2;22.671098484896433;26.7;27.6;7.0;109.0;3892068.0;3.0344083739999995E7;3892068.0;7655683.740000001;1.1547751740000002E7;107.6;2591.65;405.0;26.0;0.0;2592.0;1.3095768560808387E7;512.6;5209.65;344268.0;3547800.0;0.0;227760.0;2.270592E7;7410403.740000001
41.0;0.0;2;23.843177707723044;26.7;27.6;7.0;111.0;3892068.0;3.0385606139999993E7;3892068.0;7697206.1400000015;1.158927414E7;107.6;2597.65;405.0;26.0;0.0;2595.0;1.3261823916062592E7;512.6;5218.65;344268.0;3547800.0;0.0;227760.0;2.27322E7;7425646.1400000015
42.0;0.0;2;23.545619505955184;26.7;27.6;7.0;111.0;3892068.0;3.0385606139999993E7;3892068.0;7697206.1400000015;1.158927414E7;107.6;2597.65;405.0;26.0;0.0;2595.0;1.3395591363573406E7;512.6;5218.65;344268.0;3547800.0;0.0;227760.0;2.27322E7;7425646.1400000015
43.0;0.0;2;24.231911858305892;26.7;27.6;8.0;112.0;4470228.0;3.1030342139999993E7;4470228.0;8341942.1400000015;1.281217014E7;107.6;2827.65;471.0;26.0;0.0;2595.0;1.3716109215168068E7;578.6;5448.65;344268.0;4125960.0;0.0;227760.0;2.27322E7;8070382.1400000015
44.0;0.0;2;24.143366278440492;26.7;27.6;8.0;112.0;4470228.0;3.1030342139999993E7;4470228.0;8341942.1400000015;1.281217014E7;107.6;2827.65;471.0;26.0;0.0;2595.0;1.4060910431663208E7;578.6;5448.65;344268.0;4125960.0;0.0;227760.0;2.27322E7;8070382.1400000015
45.0;0.0;2;23.36353100232704;26.7;27.6;8.0;114.0;4470228.0;3.114098093999999E7;4470228.0;8452580.940000003;1.2922808940000003E7;107.6;2866.65;471.0;26.0;0.0;2595.0;1.4408339086692233E7;578.6;5487.65;344268.0;4125960.0;0.0;227760.0;2.27322E7;8181020.940000002
46.0;0.0;2;24.231911858305892;26.7;27.6;8.0;116.0;4470228.0;3.153351653999999E7;4470228.0;8845116.540000001;1.3315344540000001E7;107.6;3009.65;471.0;26.0;0.0;2595.0;1.5198122103012944E7;578.6;5630.65;344268.0;4125960.0;0.0;227760.0;2.27322E7;8573556.540000003
47.0;0.0;2;24.819866981659935;26.7;27.6;8.0;118.0;4470228.0;3.165237221999999E7;4470228.0;8963972.22;1.343420022E7;107.6;3054.05;471.0;26.0;0.0;2595.0;1.6387095610722762E7;578.6;5675.05;344268.0;4125960.0;0.0;227760.0;2.27322E7;8692412.22
48.0;0.0;2;23.57279603682291;25.31334641805692;26.213346418056922;8.0;118.0;4470228.0;3.165237221999999E7;4470228.0;8963972.22;1.343420022E7;107.6;3054.05;471.0;26.0;0.0;2595.0;1.6422734631436385E7;578.6;5675.05;344268.0;4125960.0;0.0;227760.0;2.27322E7;8692412.22
49.0;0.0;2;24.4617906972714;25.31334641805692;26.213346418056922;8.0;119.0;4470228.0;3.173562725999999E7;4470228.0;9047227.26;1.351745526E7;107.6;3082.8500000000004;471.0;26.0;0.0;2595.0;1.599461855066989E7;578.6;5703.85;344268.0;4125960.0;0.0;227760.0;2.27322E7;8775667.26
50.0;0.0;2;24.16557531882639;25.31334641805692;26.213346418056922;8.0;120.0;4470228.0;3.216486725999999E7;4470228.0;9047227.26;1.351745526E7;107.6;3082.8500000000004;471.0;26.0;0.0;2644.0;1.5160091156925142E7;578.6;5752.85;344268.0;4125960.0;0.0;227760.0;2.316144E7;8775667.26
51.0;0.0;2;23.248150088785643;25.31334641805692;26.213346418056922;8.0;120.0;4470228.0;3.216486725999999E7;4470228.0;9047227.26;1.351745526E7;107.6;3082.8500000000004;471.0;26.0;0.0;2644.0;1.50319478323229E7;578.6;5752.85;344268.0;4125960.0;0.0;227760.0;2.316144E7;8775667.26
52.0;0.0;2;23.64007620928977;25.31334641805692;26.213346418056922;8.0;120.0;4470228.0;3.216486725999999E7;4470228.0;9047227.26;1.351745526E7;107.6;3082.8500000000004;471.0;26.0;0.0;2644.0;1.4931367374621606E7;578.6;5752.85;344268.0;4125960.0;0.0;227760.0;2.316144E7;8775667.26
53.0;0.0;2;23.894178033992368;25.31334641805692;26.213346418056922;9.0;120.0;5626548.0;3.216486725999999E7;5626548.0;9047227.26;1.467377526E7;107.6;3082.8500000000004;603.0;26.0;0.0;2644.0;1.4873086357345326E7;710.6;5752.85;344268.0;5282280.0;0.0;227760.0;2.316144E7;8775667.26
54.0;0.0;2;24.654818429345863;25.31334641805692;26.213346418056922;9.0;120.0;5626548.0;3.216486725999999E7;5626548.0;9047227.26;1.467377526E7;107.6;3082.8500000000004;603.0;26.0;0.0;2644.0;1.476361742470059E7;710.6;5752.85;344268.0;5282280.0;0.0;227760.0;2.316144E7;8775667.26
55.0;0.0;2;23.674261512026014;25.31334641805692;26.213346418056922;9.0;120.0;5626548.0;3.216486725999999E7;5626548.0;9047227.26;1.467377526E7;107.6;3082.8500000000004;603.0;26.0;0.0;2644.0;1.4641244494769782E7;710.6;5752.85;344268.0;5282280.0;0.0;227760.0;2.316144E7;8775667.26
56.0;0.0;2;23.57279603682291;25.31334641805692;26.213346418056922;9.0;122.0;5626548.0;3.256248365999999E7;5626548.0;9444843.66;1.507139166E7;107.6;3220.8500000000004;603.0;26.0;0.0;2644.0;1.4472372846409705E7;710.6;5890.85;344268.0;5282280.0;0.0;227760.0;2.316144E7;9173283.66
57.0;0.0;2;24.06953361977475;25.31334641805692;26.213346418056922;9.0;122.0;5626548.0;3.256248365999999E7;5626548.0;9444843.66;1.507139166E7;107.6;3220.8500000000004;603.0;26.0;0.0;2644.0;1.4186033545438055E7;710.6;5890.85;344268.0;5282280.0;0.0;227760.0;2.316144E7;9173283.66
