"random_seed";"IRR";"tick";"Meta: Case";"Meta: Scenario";"name";"region";"technologyID";"Loadfactor";"Capacity";"capex";"opex";"specificRRR";"myCompanyRRR";"myCompany";"LRMC";"ownrLRMC";"certpriceneeded";"certpriceneeded_ownRRR";"StartTick";"startyear";"endyear";"endtick";"myinvestmentdecisiontype";"status";"estimannualprod";"exougenousflagg"
7;0.01122599421139233;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_44";"Sweden";2;0.28;63.0;1.00127479E8;14.6;0.0;0.0;"Company 1411";40.51854310978577;0.0;1.839821262462639;0.0;49;2016;2031;229;4;1;154526.4;1
7;0.0;287.0;"Q2 2015 Base Case";"Normal";"Wind_Norway_60";"Norway";2;0.33;60.0;9.5756371E7;17.0;0.07803289457129652;0.08980054114420268;"Company 1399";36.788857138131746;0.0;Infinity;0.0;0;0;0;0;2;5;173448.0;0
7;0.0;287.0;"Q2 2015 Base Case";"Normal";"Wind_Norway_106";"Norway";2;0.31;24.0;3.6214811E7;18.7;0.07803289457129652;0.08244373294093488;"Company 1429";65.37448148334242;67.16434758992818;Infinity;Infinity;0;0;0;0;1;3;65174.399999999994;0
7;0.0;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_32";"Sweden";2;0.3;82.5;1.39512076E8;17.7;0.06202866261747517;0.06774192496821388;"Company 1369";64.49278688873167;67.03442314920107;Infinity;Infinity;0;0;0;0;4;3;216810.0;0
7;0.0;287.0;"Q2 2015 Base Case";"Normal";"Wind_Norway_114";"Norway";2;0.31;24.0;3.5682933E7;18.6;0.07803289457129652;0.08426643669121674;"Company 1465";64.58898488189952;67.08857114506318;Infinity;Infinity;0;0;0;0;2;3;65174.399999999994;0
7;-0.0016884189243700973;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_7";"Sweden";2;0.3;27.0;4.1313247E7;14.9;0.06202866261747517;0.057433803612209455;"Company 1519";59.863131247951635;57.939503744525275;44.46806633655889;42.482927469172346;119;2021;2035;287;2;1;70956.0;0
7;0.0;287.0;"Q2 2015 Base Case";"Normal";"Wind_Norway_Auto18";"Norway";2;0.3;30.0;4.3684615E7;15.4;0.07803289457129652;0.08408271403211327;"Company 1321";0.0;0.0;0.0;0.0;0;0;0;0;2;5;78840.0;0
7;0.0;287.0;"Q2 2015 Base Case";"Normal";"Wind_Norway_58";"Norway";2;0.31;40.0;6.148815E7;17.5;0.07803289457129652;0.07636536799236703;"Company 1357";65.04840529671654;64.36592288844453;Infinity;Infinity;0;0;0;0;2;3;108624.0;0
7;0.0;287.0;"Q2 2015 Base Case";"Normal";"Overgang_2012_2025_1";"Sweden";3;1.0;55.0;0.0;0.0;0.0;0.0;"Company 1339";0.0;0.0;-36.787006995487644;0.0;0;2012;2025;168;2;1;481800.0;1
7;0.0;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_126";"Sweden";2;0.34;13.8;2.1044451E7;13.3;0.06202866261747517;0.048807698148146984;"Company 1423";50.53247536267007;46.03417325589908;Infinity;Infinity;0;0;0;0;4;3;41101.92;0
7;0.0;287.0;"Q2 2015 Base Case";"Normal";"Overgang_2012_2019";"Sweden";3;1.0;30.0;0.0;0.0;0.0;0.0;"Company 1477";0.0;0.0;-21.021146854564368;0.0;0;2012;2019;96;1;1;262800.0;1
7;0.0;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_Auto6";"Sweden";2;0.25;30.0;4.3684615E7;16.5;0.06202866261747517;0.06194285618641647;"Company 1327";0.0;0.0;0.0;0.0;0;0;0;0;1;5;65700.0;0
7;0.0;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_239";"Sweden";2;0.28;9.0;1.2804639E7;15.6;0.06202866261747517;0.048807698148146984;"Company 1423";37.756946700823754;0.0;28.972535657497392;0.0;0;0;0;0;4;0;22075.200000000004;0
7;0.0;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_219";"Sweden";2;0.49;700.0;2.394702122E9;8.9;0.06202866261747517;0.0738357705424637;"Company 1495";0.0;0.0;0.0;0.0;0;0;0;0;3;0;3004680.0;0
