"random_seed";"IRR";"tick";"Meta: Case";"Meta: Scenario";"name";"region";"technologyID";"Loadfactor";"Capacity";"capex";"opex";"specificRRR";"myCompanyRRR";"myCompany";"LRMC";"ownrLRMC";"certpriceneeded";"certpriceneeded_ownRRR";"StartTick";"startyear";"endyear";"endtick";"myinvestmentdecisiontype";"status";"estimannualprod";"exougenousflagg"
4;0.0;287.0;"Q2 2015 Base Case";"Normal";"Wind_Norway_105";"Norway";2;0.33;6.0;8355042.0;17.3;0.07803289457129652;0.0830635373081436;"Company 2761";57.76221576520001;59.53364344763472;Infinity;Infinity;0;0;0;0;2;3;17344.8;0
4;0.0;287.0;"Q2 2015 Base Case";"Normal";"Other_2014";"Sweden";5;1.0;1.0;0.0;0.0;0.0;0.0;"Company 2845";0.0;0.0;-39.414650352308186;0.0;35;2014;2029;215;3;1;8760.0;1
4;0.0;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_270";"Sweden";2;0.29;140.0;2.28678364E8;15.9;0.06202866261747517;0.06753325475417815;"Company 2803";0.0;0.0;0.0;0.0;0;0;0;0;2;0;355655.99999999994;0
4;0.009249575868158711;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_236";"Sweden";2;0.27;12.0;2.3002894E7;16.7;0.0;0.0;"Company 2815";49.118532611759406;0.0;16.17313709908536;0.0;35;2014;2029;215;2;1;28382.4;1
4;0.054780222906545925;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_111";"Sweden";2;0.3;18.0;2.6644583E7;13.8;0.06202866261747517;0.06866653644695035;"Company 2833";57.29781133673447;60.04776394637072;40.96338165366362;43.79545047604624;118;2021;2035;286;2;1;47303.99999999999;0
4;0.0;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_24";"Sweden";2;0.32;165.0;2.85769504E8;15.1;0.06202866261747517;0.06872131667737118;"Company 2689";0.0;0.0;0.0;0.0;0;0;0;0;2;0;462528.00000000006;0
4;0.0069695168610975885;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_75";"Sweden";2;0.22;6.4;9067965.0;19.9;0.0;0.0;"Company 2713";49.30783584993773;0.0;16.488642496049238;0.0;36;2015;2030;216;4;1;12334.080000000002;1
4;0.06636617231755935;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_28";"Sweden";2;0.37;75.0;1.35368737E8;13.8;0.0;0.0;"Company 2863";36.07466979308075;0.0;-5.566634265379055;0.0;20;2013;2028;200;2;1;243090.0;1
4;0.0;287.0;"Q2 2015 Base Case";"Normal";"Wind_Norway_11";"Norway";2;0.34;150.0;2.01396668E8;17.6;0.07803289457129652;0.08710318453591037;"Company 2731";55.465903128459026;58.473864077801274;Infinity;Infinity;0;0;0;0;4;3;446760.00000000006;0
4;0.035784151260281005;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_114";"Sweden";2;0.43;48.0;1.40305913E8;9.9;0.0;0.0;"Company 2797";40.940032432480265;0.0;2.5423034669534674;0.0;20;2013;2028;200;2;1;180806.4;1
4;0.0;287.0;"Q2 2015 Base Case";"Normal";"Overgang_2012_2026_3";"Sweden";3;1.0;71.0;0.0;0.0;0.0;0.0;"Company 2749";0.0;0.0;-39.414650352308186;0.0;0;2012;2026;180;2;1;621960.0;1
