"random_seed";"IRR";"tick";"Meta: Case";"Meta: Scenario";"name";"region";"technologyID";"Loadfactor";"Capacity";"capex";"opex";"specificRRR";"myCompanyRRR";"myCompany";"LRMC";"ownrLRMC";"certpriceneeded";"certpriceneeded_ownRRR";"StartTick";"startyear";"endyear";"endtick";"myinvestmentdecisiontype";"status";"estimannualprod";"exougenousflagg"
5;0.0;287.0;"Q2 2015 Base Case";"Normal";"Wind_Norway_97";"Norway";2;0.36;85.0;1.36168207E8;15.5;0.07803289457129652;0.061160834421608426;"Company 3243";58.169790143018965;52.139175101163886;Infinity;Infinity;0;0;0;0;2;3;268056.0;0
5;0.0;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_90";"Sweden";2;0.3;102.0;1.69810556E8;16.0;0.06202866261747517;0.06802137132134653;"Company 3123";40.19838445196651;0.0;35.74590346341754;0.0;0;0;0;0;4;0;268056.0;0
5;0.0;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_151";"Sweden";2;0.3;72.0;1.11888359E8;13.7;0.06202866261747517;0.0641600141328651;"Company 3093";56.70049618269391;57.565684578862914;Infinity;Infinity;0;0;0;0;2;3;189215.99999999997;0
5;0.0;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_Auto1";"Sweden";2;0.25;30.0;4.3684615E7;16.5;0.06202866261747517;0.055229867459660784;"Company 3081";0.0;0.0;0.0;0.0;0;0;0;0;3;5;65700.0;0
5;0.0;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_251";"Sweden";2;0.29;35.0;5.3356251E7;15.4;0.06202866261747517;0.06360247445533883;"Company 3105";59.037672478734606;59.685279293347946;Infinity;Infinity;0;0;0;0;2;3;88913.99999999999;0
5;0.0;287.0;"Q2 2015 Base Case";"Normal";"Wind_Norway_24";"Norway";2;0.34;40.0;6.5322091E7;20.0;0.07803289457129652;0.05939490755340646;"Company 3135";39.653476994779545;0.0;Infinity;0.0;0;0;0;0;2;5;119136.00000000001;0
5;0.0;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_60";"Sweden";2;0.31;14.0;2.0554092E7;14.4;0.06202866261747517;0.05583318834318608;"Company 3279";53.71433014018204;51.45412590689493;Infinity;Infinity;0;0;0;0;2;3;38018.4;0
5;0.04418747706820981;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_169";"Sweden";2;0.3;25.3;3.787998E7;15.3;0.0;0.0;"Company 3159";38.088925587019695;0.0;-2.2095412754808192;0.0;0;2012;2026;180;1;1;66488.4;1
5;0.04818486376071507;287.0;"Q2 2015 Base Case";"Normal";"Wind_Sweden_140";"Sweden";2;0.32;96.0;1.51778717E8;13.9;0.0;0.0;"Company 3081";36.46033536077816;0.0;-4.923858319216712;0.0;16;2013;2028;196;3;1;269107.2;1
5;0.0;287.0;"Q2 2015 Base Case";"Normal";"Wind_Norway_54";"Norway";2;0.34;69.0;1.09183939E8;18.6;0.07803289457129652;0.08071416353755567;"Company 3093";37.6435966839618;0.0;Infinity;0.0;0;0;0;0;2;5;205509.6;0
