"random_seed";"IRR";"tick";"Meta: Case";"Meta: Scenario";"name";"region";"technologyID";"Loadfactor";"Capacity";"capex";"opex";"specificRRR";"myCompanyRRR";"myCompany";"LRMC";"ownrLRMC";"certpriceneeded";"certpriceneeded_ownRRR";"StartTick";"startyear";"endyear";"endtick";"myinvestmentdecisiontype";"status";"estimannualprod";"exougenousflagg"
2;0.03098625813681838;287.0;"Q2 2015 Base Case S4";"Normal";"Wind_Norway_79";"Norway";2;0.41;45.0;7.0574705E7;17.9;0.0;0.0;"Company 1447";35.36660850626771;0.0;-4.5408844013333844;0.0;27;2014;2029;207;2;1;161622.0;1
2;0.0;287.0;"Q2 2015 Base Case S4";"Normal";"Overgang_2012_2026_1";"Sweden";3;1.0;71.0;0.0;0.0;0.0;0.0;"Company 1519";0.0;0.0;-39.414650352308186;0.0;0;2012;2026;180;4;1;621960.0;1
2;0.02686029732536603;287.0;"Q2 2015 Base Case S4";"Normal";"Wind_Sweden_228";"Sweden";2;0.3;14.0;2.0103758E7;15.0;0.0;0.0;"Company 1513";36.85666231789519;0.0;-4.263313390688321;0.0;22;2013;2028;202;1;1;36792.0;1
2;0.0;287.0;"Q2 2015 Base Case S4";"Normal";"Wind_Norway_46";"Norway";2;0.31;60.0;9.5072167E7;18.6;0.07803289457129652;0.07271718115241321;"Company 1339";0.0;0.0;0.0;0.0;0;0;0;0;1;0;162936.0;0
2;0.012469090008196237;287.0;"Q2 2015 Base Case S4";"Normal";"Wind_Sweden_78";"Sweden";2;0.29;14.0;2.1188617E7;17.0;0.0;0.0;"Company 1477";40.8304620194795;0.0;2.3596861119521844;0.0;0;2012;2026;180;2;1;35565.6;1
2;0.0;287.0;"Q2 2015 Base Case S4";"Normal";"Wind_Sweden_273";"Sweden";2;0.33;90.0;1.53646062E8;15.0;0.06202866261747517;0.05472918782200955;"Company 1345";0.0;0.0;0.0;0.0;0;0;0;0;2;0;260172.00000000003;0
2;0.0;287.0;"Q2 2015 Base Case S4";"Normal";"Wind_Norway_Auto17";"Norway";2;0.3;30.0;4.3684615E7;15.4;0.07803289457129652;0.07551624594861364;"Company 1321";0.0;0.0;0.0;0.0;0;0;0;0;2;5;78840.0;0
2;0.0;287.0;"Q2 2015 Base Case S4";"Normal";"Wind_Sweden_36";"Sweden";2;0.33;45.0;6.9283249E7;12.5;0.06202866261747517;0.05850797655371188;"Company 1507";32.844400962751095;0.0;15.343484852578504;0.0;0;0;0;0;1;0;130086.00000000001;0
2;0.008290464508074427;287.0;"Q2 2015 Base Case S4";"Normal";"Wind_Sweden_126";"Sweden";2;0.34;13.8;2.1044451E7;13.3;0.06202866261747517;0.05850797655371188;"Company 1507";52.99835362469763;51.69407952990737;33.60515387710762;32.23288928485267;102;2020;2035;282;1;1;41101.92;0
2;0.0;287.0;"Q2 2015 Base Case S4";"Normal";"Wind_Norway_71";"Norway";2;0.3;150.0;2.47648509E8;20.4;0.07803289457129652;0.06406516308656951;"Company 1357";42.918602178771245;0.0;Infinity;0.0;0;0;0;0;1;5;394200.0;0
2;0.0;287.0;"Q2 2015 Base Case S4";"Normal";"Wind_Norway_17";"Norway";2;0.29;100.0;1.72725317E8;21.0;0.07803289457129652;0.09266976649602864;"Company 1405";45.37116136820991;0.0;Infinity;0.0;0;0;0;0;2;5;254039.99999999997;0
2;0.0;287.0;"Q2 2015 Base Case S4";"Normal";"Hydro_NO_2014";"Norway";1;1.0;263.0;0.0;0.0;0.0;0.0;"Company 1459";0.0;0.0;-38.09113914706774;0.0;34;2014;2029;214;2;1;2303880.0;1
2;0.0;287.0;"Q2 2015 Base Case S4";"Normal";"Wind_Sweden_110";"Sweden";2;0.32;170.0;2.87613543E8;15.4;0.06202866261747517;0.05768435554143115;"Company 1375";59.288702929725076;57.512494026050135;Infinity;Infinity;0;0;0;0;2;3;476544.0;0
2;0.0;287.0;"Q2 2015 Base Case S4";"Normal";"Wind_Sweden_261";"Sweden";2;0.38;36.0;5.7158755E7;13.3;0.06202866261747517;0.05902306859154267;"Company 1381";0.0;0.0;0.0;0.0;0;0;0;0;2;0;119836.8;0
2;0.0;287.0;"Q2 2015 Base Case S4";"Normal";"Wind_Norway_96";"Norway";2;0.33;160.0;2.80211337E8;21.0;0.07803289457129652;0.07243866948670288;"Company 1423";71.88830602624067;69.45428474970757;Infinity;Infinity;0;0;0;0;2;3;462528.00000000006;0
2;0.024205779274852467;287.0;"Q2 2015 Base Case S4";"Normal";"Wind_Sweden_61";"Sweden";2;0.29;4.0;5524229.0;15.8;0.0;0.0;"Company 1399";37.54550858132578;0.0;-3.1152362849706834;0.0;13;2013;2028;193;1;1;10161.599999999999;1
2;0.04479179927250074;287.0;"Q2 2015 Base Case S4";"Normal";"Wind_Sweden_80";"Sweden";2;0.37;10.0;1.4477463E7;12.5;0.06202866261747517;0.05768435554143115;"Company 1375";47.41121484517541;45.998331654131924;26.388329714948547;24.858670600578055;78;2018;2033;258;2;1;32412.0;0
2;0.0;287.0;"Q2 2015 Base Case S4";"Normal";"Overgang_2012_2022_1";"Sweden";3;1.0;93.5;0.0;0.0;0.0;0.0;"Company 1363";0.0;0.0;-28.904076925026004;0.0;0;2012;2022;132;1;1;819060.0;1
2;0.0;287.0;"Q2 2015 Base Case S4";"Normal";"Wind_Sweden_182";"Sweden";2;0.31;10.0;1.4657966E7;14.3;0.06202866261747517;0.05902306859154267;"Company 1381";53.55132573652921;52.44922983780813;Infinity;Infinity;0;0;0;0;2;3;27156.0;0
2;0.029275667199889492;287.0;"Q2 2015 Base Case S4";"Normal";"Wind_Sweden_28";"Sweden";2;0.37;75.0;1.35368737E8;13.8;0.0;0.0;"Company 1489";36.07466979308075;0.0;-5.566634265379055;0.0;12;2013;2028;192;2;1;243090.0;1
2;0.0;287.0;"Q2 2015 Base Case S4";"Normal";"Wind_Norway_99";"Norway";2;0.35;150.0;2.13077657E8;17.2;0.07803289457129652;0.08537688930416641;"Company 1411";56.11749011163734;58.61389366817954;Infinity;Infinity;0;0;0;0;1;3;459900.0;0
2;0.0;287.0;"Q2 2015 Base Case S4";"Normal";"Wind_Sweden_18";"Sweden";2;0.36;92.8;1.54082758E8;14.0;0.06202866261747517;0.05758179053506858;"Company 1423";0.0;0.0;0.0;0.0;0;0;0;0;2;0;292654.08;0
2;0.03072668334961388;287.0;"Q2 2015 Base Case S4";"Normal";"Wind_Sweden_105";"Sweden";2;0.38;75.0;1.19868864E8;12.2;0.06202866261747517;0.059709862355628265;"Company 1363";49.57619526940384;48.76539982940248;29.158158544794535;28.289753041411437;88;2019;2034;268;1;1;249660.0;0
2;0.0;287.0;"Q2 2015 Base Case S4";"Normal";"Wind_Norway_45";"Norway";2;0.36;8.0;2.8433297E7;21.7;0.07803289457129652;0.07144069148926893;"Company 1495";116.36750869886528;111.0410055153197;Infinity;Infinity;0;0;0;0;2;3;25228.8;0
2;0.08190318155277311;287.0;"Q2 2015 Base Case S4";"Normal";"Wind_Norway_94";"Norway";2;0.41;6.4;7308191.0;14.2;0.07803289457129652;0.07360382399586748;"Company 1507";42.78929985605227;41.70448051076498;20.550546799597637;19.408275151663844;87;2019;2034;267;1;1;22986.24;0
