"tick";"Total";"ObligatedPurchaser";"Producers";"Trader"
0.0;6374013.617708326;-2052950.882291674;8426964.5;0.0
1.0;8324373.538606282;-2382941.6613937174;1.07073152E7;0.0
2.0;-4459.129810991697;-4229734.969810992;4225275.84;0.0
3.0;3707880.623849393;-1939179.716150607;5647060.34;0.0
4.0;4729702.719875728;-1622532.3001242739;6352235.020000001;0.0
5.0;4331402.619445865;-1816071.4505541362;6147474.070000001;0.0
6.0;3882117.1920796344;-2195962.6489203675;6078079.841000002;0.0
7.0;4190725.178524607;-2386204.8223753944;6576930.000900001;0.0
8.0;2752358.510889718;-2674345.9984302833;5426704.509320001;0.0
9.0;1556212.194314938;-3782490.4362230627;5338702.630538001;0.0
10.0;2959350.4873553775;-3912150.3322126223;6871500.819568;0.0
11.0;4484605.527825247;-5145135.731239955;9629741.259065202;0.0
12.0;8362050.287962866;-3944982.0030893115;1.2307032291052178E7;0.0
13.0;7829256.406273053;-4679765.13001491;1.2509021536287963E7;0.0
14.0;1.0089419258348187E7;-3274582.173774902;1.336400143212309E7;0.0
15.0;9039096.951113133;-2912239.3404925317;1.1951336291605664E7;0.0
16.0;1.0941659004250105E7;-1370135.0869035586;1.2311794091153665E7;0.0
17.0;1.127965790008637E7;-1203176.1035672969;1.2482834003653666E7;0.0
18.0;9154257.861200867;-1439861.853049746;1.0594119714250613E7;0.0
19.0;8726990.943332855;-1617888.7162935047;1.034487965962636E7;0.0
20.0;7755697.26138193;-2241652.4982997947;9997349.759681724;0.0
21.0;8648451.151132282;-2066789.3202445474;1.0715240471376829E7;0.0
22.0;1.0180638443522409E7;-1880909.4071381392;1.2061547850660548E7;0.0
23.0;1.148704430977519E7;-2295378.042140148;1.3782422351915339E7;0.0
24.0;1.3203042684467893E7;-2431242.3190937154;1.5634285003561608E7;0.0
25.0;1.1709078258317886E7;-3031397.116163496;1.4740475374481382E7;0.0
26.0;7394390.862198438;-4393883.281773864;1.1788274143972302E7;0.0
27.0;1.0669691418670679E7;-2424077.5500516184;1.3093768968722297E7;0.0
