"tick";"Traded Volume"
0.0;0.0
1.0;0.0
2.0;0.0
3.0;0.0
4.0;0.0
5.0;0.0
6.0;0.0
7.0;0.0
8.0;0.0
9.0;0.0
10.0;0.0
11.0;0.0
12.0;0.0
13.0;0.0
14.0;0.0
15.0;0.0
16.0;0.0
17.0;0.0
18.0;0.0
19.0;0.0
20.0;0.0
21.0;0.0
22.0;0.0
23.0;0.0
24.0;0.0
25.0;0.0
26.0;0.0
27.0;0.0
28.0;0.0
29.0;0.0
30.0;0.0
31.0;0.0
32.0;0.0
33.0;0.0
34.0;0.0
35.0;0.0
36.0;0.0
37.0;0.0
38.0;724074.1210047782
39.0;2046480.8754828642
40.0;1126163.037170165
41.0;2048363.7815051293
42.0;1389954.6728933526
43.0;1140323.8025318051
44.0;1227224.4705583411
45.0;1223769.3061312085
46.0;1376374.1226533595
47.0;1963284.5406758168
48.0;2206277.002220683
49.0;1971997.1903027203
50.0;3087691.578702386
51.0;2246030.557496854
52.0;2167536.539491261
53.0;2360581.627189192
54.0;2152093.3222863525
55.0;1677874.8408101795
56.0;1881788.4254652956
57.0;1970880.6531153698
58.0;2166862.98418016
59.0;2573723.188213946
60.0;2410975.9911917625
61.0;2859999.0196237634
62.0;3797218.1826906824
63.0;2306182.9568897765
64.0;2299828.9778629183
65.0;4484586.0580162965
66.0;2311727.2541646454
67.0;2013905.9930685398
68.0;1613091.2160362361
69.0;1937556.726349933
70.0;3026620.9208421246
71.0;2294532.657332832
72.0;4102363.231653568
73.0;3139107.3327793377
74.0;2144924.5320638632
75.0;3390799.2755834656
76.0;2873591.4415841578
77.0;3886445.0931286877
78.0;3702397.8047338813
79.0;2228594.7824125015
80.0;2226205.566179879
81.0;2339264.320657105
82.0;2319230.5698787123
83.0;1759500.704832256
84.0;3672631.676959648
85.0;2763364.71963556
86.0;2625158.5890380465
87.0;2048862.207881775
88.0;3596870.086010654
89.0;5008697.180010113
90.0;3616886.493209948
91.0;1657296.0121424599
92.0;2477366.7515535173
93.0;1965892.0229648813
94.0;3074238.754362805
95.0;2205636.6768320203
96.0;2955756.8620316945
97.0;3480504.0189982792
98.0;3793130.5856909733
99.0;2357720.4271471575
100.0;3862651.2366217645
101.0;2711213.367377506
102.0;2773406.1778059653
103.0;2676029.139176001
104.0;2813214.2447430687
105.0;2496976.9962148257
106.0;2211306.6649670564
107.0;2475699.487353121
108.0;2777833.4864341915
109.0;3376751.201848383
110.0;4138030.7309933463
111.0;7567504.3317265585
112.0;4784807.803804434
113.0;4260128.472075398
114.0;2438295.44198005
115.0;3359780.534755808
116.0;2211399.1790008517
117.0;2640742.9366194196
118.0;3181694.3451363533
119.0;2565953.228916368
120.0;3962934.203968427
121.0;3151609.757118721
122.0;2706940.2717244606
123.0;3048799.735832419
124.0;4536012.204163501
125.0;3324437.6524015446
126.0;2250127.5498421965
127.0;3631145.373405251
128.0;2229465.961593919
129.0;2397728.889835724
130.0;2958887.7904312504
131.0;2832245.2241146495
132.0;3630687.6975595974
133.0;4263464.035105223
134.0;3554953.6595402216
135.0;3585816.3399357097
136.0;2902850.349996739
137.0;2372201.3070120183
138.0;2225602.544572825
139.0;2064690.3409516686
140.0;2125212.579697267
141.0;2304385.626486467
142.0;2542995.955916053
143.0;3235274.142645904
144.0;3660349.341170611
145.0;3577586.3468385683
146.0;3163148.2567606475
147.0;3489866.8886194867
148.0;2762551.0116441906
149.0;2335456.643009014
150.0;1832871.8688198114
151.0;2099660.6062292815
152.0;1979959.2163552176
153.0;2158378.050395655
154.0;2614127.8558494165
155.0;2664750.498626778
156.0;3586860.9474419886
157.0;3271581.4624401485
158.0;3283750.523473968
159.0;3007785.288934709
160.0;2686500.719794061
161.0;2334499.1309286845
