"tick";"Traded Volume"
0.0;20050.0
1.0;1362701.0310514523
2.0;2188344.569520708
3.0;1870408.3405209887
4.0;1545302.379638466
5.0;1076014.802195401
6.0;984217.786222124
7.0;1239307.6834059975
8.0;842547.6651011227
9.0;1139627.4983012814
10.0;1345503.386862969
11.0;1723423.9607560285
12.0;2430682.8709052843
13.0;2321835.749856807
14.0;1399581.1846819625
15.0;1632853.4000277384
16.0;1105504.9074067273
17.0;1236230.9910311573
18.0;1000551.7513539675
19.0;1125313.2053486428
20.0;922071.700056276
21.0;1126490.4864709903
22.0;1193293.2692056622
23.0;1283583.6232675803
24.0;1808691.3982731528
25.0;2041616.2675216233
26.0;1978498.973615245
27.0;1588162.2414340286
28.0;1521334.8318204153
29.0;2044829.6895118908
30.0;1319754.901663008
31.0;932861.6606219026
32.0;946296.3770391508
33.0;1539005.5830694337
34.0;1725564.7175772171
35.0;1849327.9588715036
36.0;1895104.0422635993
37.0;2258459.976330896
38.0;2194924.4914492243
39.0;1818685.420609223
40.0;1628026.9460419419
41.0;1560960.1536557777
42.0;1394268.610836231
43.0;1236489.3568096324
44.0;1227824.070495665
45.0;1368311.116049903
46.0;1642765.8443816334
47.0;1894484.11360675
48.0;2155618.054655221
49.0;2607857.106687164
50.0;3037597.5077907285
51.0;2333210.491903269
52.0;2536047.1649930393
53.0;2281355.3103655623
54.0;2076998.5714680047
55.0;1925269.1289891119
56.0;1756429.8553096317
57.0;1720385.8096312922
58.0;2131578.3142310544
59.0;2621629.6003520703
60.0;2596317.3341121026
61.0;2988885.652106593
62.0;3457906.602655081
63.0;3270929.948053415
64.0;2608432.5767934998
65.0;2264268.696422503
66.0;2644245.0127454964
67.0;1804888.531933264
68.0;2463797.3977054623
69.0;1597333.8495622987
70.0;2342769.074178138
71.0;2333341.734426601
72.0;2513620.0341765205
73.0;3165112.9895459674
74.0;2712380.1838196707
75.0;4040477.1607639426
76.0;2305361.6468469785
77.0;4032009.7969631488
78.0;2243753.0930786114
79.0;2314347.494303537
80.0;1679715.704696217
81.0;1723445.4012131188
82.0;2615710.1559928204
83.0;2131441.8880082895
84.0;2464945.0496940697
85.0;2619331.851014431
86.0;2653711.860242313
87.0;2448742.000813705
88.0;2383134.6875511813
89.0;2682672.5451082527
90.0;3377127.392210232
91.0;3070308.3916802597
92.0;1700312.4117607407
93.0;1858223.263285034
94.0;1908572.401134383
95.0;4631168.994184742
96.0;4446439.802616657
97.0;2363848.6893740566
98.0;2988898.9385131015
99.0;2197537.3502926626
100.0;2386581.2035224177
101.0;3261180.9551596036
102.0;1893012.4285951962
103.0;1868649.7788067905
104.0;1904990.8208105972
105.0;1904121.6267927934
106.0;2390588.7718298533
