"Cert price";"Expected price";"Floor";"Roof";"Powerprice_N";"tick"
16.7;16.7;0.0;500.0;29.84;0.0
16.7;16.7;0.0;500.0;29.84;1.0
16.7;16.7;0.0;500.0;29.84;2.0
16.7;16.7;0.0;500.0;29.84;3.0
16.7;16.699999999999996;0.0;500.0;29.84;4.0
16.7;16.699999999999996;0.0;500.0;29.84;5.0
16.7;16.699999999999996;0.0;500.0;29.84;6.0
16.7;16.699999999999996;0.0;500.0;29.84;7.0
17.535;16.699999999999996;0.0;500.0;29.84;8.0
17.780346094552428;17.34290795496665;0.0;500.0;29.84;9.0
18.04117845325693;17.66602870870098;0.0;500.0;29.84;10.0
17.960773071462253;17.96416847488253;0.0;500.0;29.84;11.0
17.933453475450474;17.961191573586582;0.0;500.0;37.83;12.0
16.172017642253202;17.94531140733307;0.0;500.0;37.83;13.0
16.85809105323168;16.57913015095203;0.0;500.0;37.83;14.0
16.745142150620772;16.82234807347219;0.0;500.0;37.83;15.0
16.446181748590043;16.72357303917036;0.0;500.0;37.83;16.0
16.486481169393908;16.5227863968885;0.0;500.0;37.83;17.0
17.344771227991153;16.49793178460076;0.0;500.0;37.83;18.0
17.29436846602502;17.1445280676319;0.0;500.0;37.83;19.0
17.301093941468043;17.24647393107933;0.0;500.0;37.83;20.0
17.298454416954666;17.303040254277484;0.0;500.0;37.83;21.0
18.160620803696183;17.2985954850717;0.0;500.0;37.83;22.0
17.961835903172695;17.962462072233077;0.0;500.0;37.83;23.0
17.772576174704945;17.94780805599144;0.0;500.0;32.0;24.0
18.760682900390425;17.829893599736245;0.0;500.0;32.0;25.0
18.43929066543546;18.546486548940813;0.0;500.0;32.0;26.0
18.37316085301355;18.44473951564626;0.0;500.0;32.0;27.0
18.511681241193436;18.410650343717805;0.0;500.0;32.0;28.0
16.65626036799907;18.48439815938837;0.0;500.0;32.0;29.0
17.020034639510428;17.073499485225966;0.0;500.0;32.0;30.0
17.311603831663618;17.064950971639;0.0;500.0;32.0;31.0
17.07425648530923;17.219314352841636;0.0;500.0;32.0;32.0
15.446921097620091;17.108649113742235;0.0;500.0;32.0;33.0
15.60689269164645;15.837741172269482;0.0;500.0;32.0;34.0
14.445207969485221;15.682884865123219;0.0;500.0;32.0;35.0
13.656125643974049;14.701366016376454;0.0;500.0;30.5;36.0
12.91441584445564;13.91817287817192;0.0;500.0;30.5;37.0
12.401460082922878;13.139739235105312;0.0;500.0;30.5;38.0
11.71452729262767;12.570875046885652;0.0;500.0;30.5;39.0
11.349667078640987;11.908110358274067;0.0;500.0;30.5;40.0
10.80078825079995;11.481215911397257;0.0;500.0;30.5;41.0
10.0557471597871;10.952347170955942;0.0;500.0;30.5;42.0
9.20349513206727;10.265187956249965;0.0;500.0;30.5;43.0
8.862611174102422;9.451196220068509;0.0;500.0;30.5;44.0
8.248667079028976;9.000102849876711;0.0;500.0;30.5;45.0
7.842458180245078;8.413532447225217;0.0;500.0;30.5;46.0
7.370275764415597;7.978460307962975;0.0;500.0;30.5;47.0
6.735879429213399;7.507056603478333;0.0;500.0;30.5;48.0
6.6672901538328615;6.9145503870547085;0.0;500.0;30.5;49.0
6.51158814699879;6.727040351360624;0.0;500.0;30.5;50.0
6.548008892958003;6.552161501157093;0.0;500.0;30.5;51.0
6.544826559590185;6.5504222882174945;0.0;500.0;30.5;52.0
6.526244148028543;6.543034265682712;0.0;500.0;30.5;53.0
6.201089887524459;6.5307396119218915;0.0;500.0;30.5;54.0
5.870732530742804;6.277179722150999;0.0;500.0;30.5;55.0
5.6737985302981455;5.969268414497295;0.0;500.0;30.5;56.0
5.734518133878096;5.742000960233457;0.0;500.0;30.5;57.0
5.464673350029442;5.734199435858777;0.0;500.0;30.5;58.0
5.631001477784151;5.522542647272232;0.0;500.0;30.5;59.0
5.35205677739485;5.611441085833731;0.0;500.0;30.5;60.0
5.6435962343967265;5.404699586994472;0.0;500.0;30.5;61.0
5.442702001247439;5.595861664347298;0.0;500.0;30.5;62.0
5.42479253144541;5.468710639107115;0.0;500.0;30.5;63.0
5.515899372271277;5.442836970762786;0.0;500.0;30.5;64.0
5.733608734868774;5.496181550591132;0.0;500.0;30.5;65.0
5.518807363667584;5.677209831535738;0.0;500.0;30.5;66.0
5.666269892362058;5.5531326471053655;0.0;500.0;30.5;67.0
5.290108581021069;5.647234375049393;0.0;500.0;30.5;68.0
5.395711677710959;5.366423716691145;0.0;500.0;30.5;69.0
5.404239091230904;5.397490100321556;0.0;500.0;30.5;70.0
5.6346209095418835;5.39495780626822;0.0;500.0;30.5;71.0
5.894000016575485;5.581030439669959;0.0;500.0;30.5;72.0
5.816064130402645;5.818361561565375;0.0;500.0;30.5;73.0
6.265739103107115;5.816015251809984;0.0;500.0;30.5;74.0
6.266167594640448;6.1676931005037545;0.0;500.0;30.5;75.0
6.547233764668876;6.234901196712058;0.0;500.0;30.5;76.0
6.529533994419876;6.482544693384753;0.0;500.0;30.5;77.0
6.5126827029040255;6.514124604699862;0.0;500.0;30.5;78.0
6.856604805099541;6.517786153041455;0.0;500.0;30.5;79.0
6.951466127276335;6.778653398873786;0.0;500.0;30.5;80.0
7.264319580574667;6.905805354868371;0.0;500.0;30.5;81.0
7.253702154341622;7.185772515351106;0.0;500.0;30.5;82.0
7.597292350965078;7.234460232122266;0.0;500.0;30.5;83.0
7.997960207652564;7.518985218734054;0.0;500.0;30.5;84.0
8.293335564529984;7.881971538932048;0.0;500.0;30.5;85.0
8.626738558167975;8.197613311964284;0.0;500.0;30.5;86.0
