"tick";"Total";"ObligatedPurchaser";"Producers";"Trader"
0.0;1534013.6177083256;-2073550.8822916744;3608364.5;-800.0
1.0;2292916.284515793;-3148761.7254842087;5444478.010000002;-2800.0
2.0;2295687.4760985137;-3781845.372901485;6081132.8489999985;-3600.0
3.0;2157758.4254316906;-3530723.0710683097;5693281.4965;-4800.0
4.0;1831333.1194316023;-3541104.2287183977;5377237.34815;-4800.0
5.0;1201271.2061446467;-3645125.327940353;4852796.534085;-6400.0
6.0;684427.2469502459;-3779345.568726254;4470972.8156765;-7200.0
7.0;511894.8454185929;-4266204.598259656;4786499.443678249;-8400.0
8.0;641949.8067709254;-4848325.974727001;5501075.781497926;-10800.0
9.0;948193.0783867938;-5103147.554924042;6062140.633310836;-10800.0
10.0;1924683.251773404;-5774232.166741507;7711715.418514911;-12800.0
11.0;3551701.0;-6135139.796194669;9700840.796194669;-14000.0
12.0;5554324.014767106;-5022946.8841031445;1.059087089887025E7;-13600.0
