"tick";"Total";"ObligatedPurchaser";"Producers";"Trader"
0.0;5274013.617708326;-2052950.882291674;7326964.5;0.0
1.0;7318083.689496914;-2318681.1405030866;9636764.83;0.0
2.0;-520770.2859203606;-4165474.448920361;3644704.1630000006;0.0
3.0;3381730.932768249;-1684757.7302317496;5066488.662999999;0.0
4.0;4326183.402876504;-1620647.2571234973;5946830.660000001;0.0
5.0;4253765.709277234;-1854606.8091227673;6108372.518400001;0.0
6.0;2899205.3819964333;-2481080.071713567;5380285.45371;0.0
7.0;2569778.269727003;-2306523.591645996;4876301.861372999;0.0
8.0;2683136.5055848276;-2531040.441433872;5214176.9470187;0.0
9.0;2709582.3059819457;-3372391.5066154846;6081973.81259743;0.0
10.0;3406206.211377482;-4078763.9996261187;7484970.211003601;0.0
11.0;3690006.8419062877;-5427738.967526653;9117745.80943294;0.0
12.0;7402991.678238456;-4336739.955269291;1.1739731633507747E7;0.0
13.0;6663051.277398673;-5206178.008873233;1.1869229286271906E7;0.0
14.0;1.0012806398212332E7;-3013264.5345149906;1.3026070932727322E7;0.0
15.0;9042297.04528075;-3434497.3903208193;1.247679443560157E7;0.0
16.0;1.1061596050744483E7;-1560976.851264337;1.262257290200882E7;0.0
17.0;1.1837463004638642E7;-1211009.6880616616;1.3048472692700304E7;0.0
18.0;1.0559907161938109E7;-1444872.8290909354;1.2004779991029045E7;0.0
19.0;1.0459227807492755E7;-1673392.8091669397;1.2132620616659695E7;0.0
20.0;9450550.743168106;-2024242.3671749819;1.1474793110343087E7;0.0
21.0;9888172.854451673;-2197740.4206994493;1.2085913275151122E7;0.0
22.0;1.1095206754469357E7;-2066392.1478240464;1.3161598902293405E7;0.0
23.0;1.2374905854602816E7;-1911596.6975305588;1.4286502552133374E7;0.0
24.0;1.3997417404413758E7;-2468308.1291582226;1.646572553357198E7;0.0
25.0;1.2312065762132766E7;-3925675.193422526;1.6237740955555292E7;0.0
26.0;1.273923514543927E7;-2909397.2887255778;1.5648632434164848E7;0.0
27.0;1.4078872522769565E7;-1818552.6283122033;1.5897425151081769E7;0.0
28.0;1.0316271824178353E7;-1715233.4029363687;1.2031505227114722E7;0.0
29.0;9186975.456490498;-1716531.2486677638;1.0903506705158262E7;0.0
30.0;9255393.394909173;-1739967.407298111;1.0995360802207284E7;0.0
31.0;7875180.2779831365;-2044921.260019569;9920101.538002705;0.0
32.0;4925567.70275231;-2364606.098730402;7290173.801482712;0.0
33.0;5898657.608085891;-2336598.191211988;8235255.799297879;0.0
34.0;6941712.359340314;-2546010.6504207808;9487723.009761095;0.0
35.0;9564888.832276845;-2581955.544819279;1.2146844377096124E7;0.0
36.0;1.1309759303975383E7;-2224062.2960246187;1.3533821600000001E7;0.0
37.0;1.1522648611188538E7;-2679204.077622482;1.420185268881102E7;0.0
38.0;1.1320938917732127E7;-2510395.8634761884;1.3831334781208316E7;0.0
39.0;1.1626526494243462E7;-2178418.6175410263;1.3804945111784488E7;0.0
40.0;1.1931148080460545E7;-1690910.8285609798;1.3622058909021525E7;0.0
41.0;1.220505409063776E7;-1563906.8612680435;1.3768960951905804E7;0.0
42.0;1.2483573693071611E7;-1359739.1876429534;1.3843312880714566E7;0.0
43.0;1.2822558772892324E7;-1437492.7648084026;1.4260051537700728E7;0.0
44.0;1.3137781665194193E7;-1725490.1413652655;1.4863271806559458E7;0.0
45.0;1.3486210647743156E7;-1906956.7371488002;1.5393167384891957E7;0.0
46.0;1.4167145663749542E7;-2400931.769603546;1.6568077433353087E7;0.0
47.0;1.5157033800000003E7;-2883294.459607108;1.804032825960711E7;0.0
48.0;1.5103283268449392E7;-4455451.935790178;1.955873520423957E7;0.0
49.0;1.4681807958544873E7;-4866548.588199531;1.9548356546744402E7;0.0
50.0;1.3889030556492837E7;-4077493.226504917;1.7966523782997753E7;0.0
51.0;1.3823624723583296E7;-4068120.6250011516;1.7891745348584447E7;0.0
52.0;1.3891401678405441E7;-4089424.1160075106;1.7980825794412952E7;0.0
53.0;1.3900142994483316E7;-3938862.407010061;1.7839005401493378E7;0.0
54.0;1.4100421395192739E7;-3382843.967453402;1.748326536264614E7;0.0
55.0;1.4206806077785362E7;-3205011.2263381137;1.7411817304123476E7;0.0
56.0;1.4151952973877518E7;-3110378.8832990765;1.7262331857176594E7;0.0
57.0;1.400645971735809E7;-3260930.980467822;1.7267390697825912E7;0.0
58.0;1.411844477435656E7;-3596333.353255509;1.771477812761207E7;0.0
59.0;1.4458929900000002E7;-4260901.238761976;1.871983113876198E7;0.0
60.0;1.4338561429849342E7;-5015664.355012328;1.935422578486167E7;0.0
61.0;1.3814405635599587E7;-5539509.725260578;1.9353915360860165E7;0.0
62.0;1.2923125940750394E7;-5710517.809053245;1.863364374980364E7;0.0
