"tick";"Traded Volume"
0.0;0.0
1.0;0.0
2.0;0.0
3.0;0.0
4.0;0.0
5.0;0.0
6.0;0.0
7.0;0.0
8.0;0.0
9.0;0.0
10.0;0.0
11.0;0.0
12.0;0.0
13.0;0.0
14.0;0.0
15.0;0.0
16.0;0.0
17.0;0.0
18.0;0.0
19.0;0.0
20.0;0.0
21.0;0.0
22.0;0.0
23.0;0.0
24.0;0.0
25.0;0.0
26.0;0.0
27.0;0.0
28.0;0.0
29.0;0.0
30.0;0.0
31.0;0.0
32.0;0.0
33.0;0.0
34.0;0.0
35.0;0.0
36.0;0.0
37.0;1959897.586057308
38.0;1707583.902358238
39.0;1555848.073046783
40.0;1928950.2101625393
41.0;1628438.0684431437
42.0;1465240.6016499405
43.0;1063416.5448991007
44.0;1406417.9396794194
45.0;1413935.4627476619
46.0;1431363.6409777463
47.0;1668263.941476468
48.0;2052951.8522999592
49.0;2683264.3464075723
50.0;2282694.280568204
51.0;2686140.9715986564
52.0;2682524.533843599
53.0;2614341.1201157323
54.0;1705849.1304623093
55.0;1896346.0187213374
56.0;1976711.698215502
57.0;1911686.6227824062
58.0;1949805.9797696844
59.0;2743260.234596762
60.0;2536847.7882603644
61.0;2761965.2750088023
62.0;2597091.806808475
63.0;2885989.98811597
64.0;2879672.3646238167
65.0;2605140.7737927013
66.0;2327278.704801132
67.0;2540842.1171137346
68.0;2287483.9488950674
69.0;2063852.0538766375
70.0;2151026.4230042947
71.0;2402286.922639138
72.0;2653485.1998631055
73.0;3186530.169920319
74.0;3056353.2472478542
75.0;3939214.3928157827
76.0;3226925.6525321994
77.0;3593270.727269711
78.0;2091582.3985891924
79.0;3446801.7688214732
80.0;2589219.6819069926
81.0;2436690.3492595833
82.0;2215618.5869741426
83.0;2468053.6968672317
84.0;2803720.731959313
85.0;4400668.461079017
86.0;4409707.629579384
87.0;3508627.350987231
88.0;4311899.745323984
89.0;2153365.8158320403
90.0;1988036.8531709486
91.0;1968562.8070557984
92.0;2755164.7277555475
93.0;3256154.3906348823
94.0;2372904.8471777877
95.0;2757498.320243435
96.0;3938191.687332978
97.0;3707092.375395475
98.0;3098071.9610796603
99.0;3895894.5634328052
100.0;2597416.6501170862
101.0;2798489.5037747202
102.0;2843723.3146985583
103.0;2524665.4579907544
104.0;3224240.694811885
105.0;2527779.6423933613
106.0;5112175.770916756
107.0;2409729.608711772
108.0;3086241.5932985195
109.0;3666219.543583254
110.0;2916989.870766542
111.0;3941074.112676483
112.0;3154064.5604039873
113.0;2731701.9510762626
114.0;2486967.9730068087
115.0;3303757.1483692187
116.0;1885120.294339321
117.0;3003453.692378871
118.0;3385694.630084314
119.0;4617465.077414024
120.0;3795838.4382327325
121.0;3610691.4803774385
122.0;3231902.544168809
123.0;2942226.670182022
124.0;2696651.5783569636
125.0;3780672.0728442734
126.0;2210891.9565858506
127.0;2190742.678091873
128.0;2201630.711433681
129.0;3444449.921309307
130.0;2894608.613229201
131.0;2836257.9692452727
132.0;3968315.9627991156
133.0;2939654.7306811553
134.0;3600062.3714424525
135.0;3996516.8438606476
136.0;3086247.2583482116
137.0;2530714.952963043
138.0;2399116.4977481696
139.0;1887119.0508418265
140.0;2152610.5782632064
141.0;2081710.8591711295
142.0;2579522.370595635
143.0;2820820.046743548
144.0;3079076.4631255805
145.0;3572859.1141459653
146.0;2849244.9790983363
147.0;4313362.424107317
148.0;2541285.7424406405
149.0;2802560.0933941673
150.0;2076496.2449374513
151.0;2034204.8697931806
152.0;2374952.1759634707
153.0;2137577.4990360616
154.0;2844174.494931155
155.0;2672160.2277960004
156.0;3080867.1419627294
157.0;3636804.028105555
158.0;2623282.237869631
159.0;2929453.8323958134
160.0;2921972.6284783967
