"tick";"Traded Volume"
0.0;0.0
1.0;0.0
2.0;0.0
3.0;0.0
4.0;0.0
5.0;0.0
6.0;0.0
7.0;0.0
8.0;0.0
9.0;0.0
10.0;0.0
11.0;0.0
12.0;0.0
13.0;0.0
14.0;0.0
15.0;0.0
16.0;0.0
17.0;0.0
18.0;0.0
19.0;0.0
20.0;0.0
21.0;0.0
22.0;0.0
23.0;0.0
24.0;0.0
25.0;0.0
26.0;0.0
27.0;0.0
28.0;0.0
29.0;0.0
30.0;0.0
31.0;0.0
32.0;0.0
33.0;0.0
34.0;0.0
35.0;0.0
36.0;0.0
37.0;0.0
38.0;1131591.9952881408
39.0;1648517.1346698115
40.0;1981783.57095825
41.0;1225110.8741034714
42.0;1380109.5858710737
43.0;1140744.5207663747
44.0;1204084.455982719
45.0;1492876.480496958
46.0;1749893.4853860757
47.0;1834368.8660630253
48.0;2041937.0825629912
49.0;2549388.2078298135
50.0;2259849.237617263
51.0;2022941.0747911467
52.0;2969274.684941428
53.0;2770431.522248152
54.0;2027951.0610192125
55.0;1118887.8035285368
56.0;1836444.3428992885
57.0;1883881.3854398637
58.0;2765433.164232124
59.0;2192181.403449226
60.0;2688901.889875653
61.0;2894208.0654723886
62.0;3754878.4404772907
63.0;2706569.545221809
64.0;2507037.011414589
65.0;2559241.646474502
66.0;2629335.5669296584
67.0;1989469.0857117306
68.0;2307501.378980619
69.0;2286615.0011747805
70.0;2236212.239577439
71.0;2512744.5015884815
72.0;3017180.6278153197
73.0;2923173.0863790116
74.0;3252327.3386313883
75.0;2692437.980237218
76.0;3130762.7053650874
77.0;2980111.678740381
78.0;2883079.8046527435
79.0;2662370.3960676542
80.0;2499210.8439953015
81.0;2309377.213771535
82.0;2253388.088746928
83.0;2531929.9454648825
84.0;3203169.0942204157
85.0;3817739.755403476
86.0;3164889.9786155387
87.0;3177869.85472925
88.0;2878585.313421236
89.0;2893414.204365772
90.0;2667277.9544807537
91.0;2884083.155012585
92.0;3119086.643001712
93.0;2184615.0702301366
94.0;4718581.632443993
95.0;3334857.103813949
96.0;3011827.909210064
97.0;2974156.893800456
98.0;3673472.8278204594
99.0;3241549.567232772
100.0;4515799.903624792
101.0;2772842.051389515
102.0;2748615.7351966496
103.0;2166046.6452644123
104.0;2442994.0168510787
105.0;3468339.0729862317
106.0;2479527.9716893937
107.0;3910672.550322516
108.0;3623777.5361308614
109.0;2669011.57337251
110.0;3083733.889350041
111.0;3108010.9182629636
112.0;3170486.722427383
113.0;2691781.937307651
114.0;4758148.294915078
115.0;2173518.624408501
116.0;1899465.9982117666
117.0;1864873.3932744632
118.0;2512484.127597109
119.0;3006959.2750730463
120.0;2371501.8514304548
121.0;2515105.623665822
122.0;2955769.534211418
123.0;4833201.858555491
124.0;2932732.880780134
125.0;2909697.318845966
126.0;3694604.715831185
127.0;3013625.2807534747
128.0;3272342.6021361523
129.0;3270998.8584121345
130.0;2181342.041779613
131.0;2785786.2647906626
132.0;4124855.7298653945
133.0;3273159.3421772863
134.0;4729689.760651197
135.0;2528185.9860747443
136.0;3371869.2207600516
137.0;3547198.883957366
138.0;3017503.0679040477
139.0;2618135.0009484533
140.0;2586186.4620285374
141.0;2314329.2877383865
142.0;2665422.8498847615
143.0;3460359.7887132065
144.0;3186221.0083344434
145.0;4018845.29104852
146.0;3300384.4785728343
147.0;2876074.1557173133
148.0;3315893.313689675
149.0;2403542.3025637856
150.0;2131596.444170306
151.0;1802913.5386542394
152.0;1973410.720212362
153.0;2352157.994585294
154.0;2398920.9589277455
155.0;2839749.853471883
156.0;3418086.5130410297
157.0;3652046.294880581
158.0;3150688.672593927
159.0;3049339.886456143
160.0;2514296.8287323345
161.0;2194058.0149990567
162.0;2044545.8837429553
