"tick";"Total";"ObligatedPurchaser";"Producers";"Trader"
0.0;5274013.617708326;-2052950.882291674;7326964.5;0.0
1.0;7112737.917610541;-2504333.042389458;9617070.959999999;0.0
2.0;-339569.49880673224;-4351126.350806732;4011556.8519999995;0.0
3.0;3828600.17247393;-1572871.3595260691;5401471.531999999;0.0
4.0;3702363.199957365;-1684881.3440426365;5387244.544000002;0.0
5.0;2854480.303632364;-1990759.8701676368;4845240.173800001;0.0
6.0;989855.5116933547;-2501311.6649066457;3491167.1766000004;0.0
7.0;1537346.274715777;-2074704.9535442227;3612051.22826;0.0
8.0;1375708.8612635909;-2253508.2272704095;3629217.0885340003;0.0
9.0;273806.1570451553;-3297097.930419844;3570904.0874649994;0.0
10.0;-125264.84466887917;-4099745.324029679;3974480.4793608;0.0
11.0;923864.3908158643;-4822256.642652135;5746121.033468;0.0
12.0;4227212.328842851;-4220803.479278347;8448015.808121199;0.0
13.0;3145563.3054456934;-5196994.731306425;8342558.036752119;0.0
14.0;6459066.554001672;-2817521.1711974465;9276587.725199118;0.0
15.0;1521820.1937983409;-3173706.550655868;4695526.744454209;0.0
16.0;4060173.149826454;-1410416.4946277544;5470589.644454208;0.0
17.0;4764719.884344326;-1175882.5377828823;5940602.422127209;0.0
18.0;4083079.6557500465;-1473825.3414821709;5556904.997232217;0.0
19.0;4383386.378413789;-1574560.4535166975;5957946.8319304865;0.0
20.0;2678643.7088461434;-2011899.9119217948;4690543.620767938;0.0
21.0;2410921.2968149763;-2339618.643315073;4750539.940130049;0.0
22.0;4525899.938408596;-1804956.5166181987;6330856.455026795;0.0
23.0;6234897.089008996;-2121361.0337882456;8356258.122797242;0.0
24.0;8145174.800687874;-2360317.9746706006;1.0505492775358474E7;0.0
25.0;4313091.596366303;-3647284.7930983477;7960376.389464651;0.0
26.0;6336875.543706026;-2612172.778743973;8949048.322449999;0.0
27.0;8252340.744998812;-2067037.7046505949;1.0319378449649407E7;0.0
28.0;8320640.011994087;-1764781.9891458722;1.008542200113996E7;0.0
29.0;8122692.163819877;-1732066.227336396;9854758.391156273;0.0
30.0;8135194.729164839;-1780713.7331721294;9915908.462336969;0.0
31.0;5419305.447275314;-1883011.7196124985;7302317.166887812;0.0
32.0;5526474.736122198;-2116386.294475003;7642861.030597202;0.0
33.0;6275361.085571151;-2043844.2137641;8319205.299335252;0.0
34.0;7269174.956933888;-2222174.4403897184;9491349.397323607;0.0
35.0;9938100.749799864;-2259937.566651926;1.219803831645179E7;0.0
36.0;1.3129759303975387E7;855937.7039753809;1.2273821600000005E7;0.0
37.0;1.3342648611188537E7;-1266734.9888114624;1.46093836E7;0.0
38.0;1.3140938917732127E7;-2275882.635111406;1.5416821552843533E7;0.0
39.0;1.3446526494243456E7;-2560253.9111437146;1.600678040538717E7;0.0
40.0;1.375114808046054E7;-1996119.3804980356;1.5747267460958574E7;0.0
41.0;1.4025054090637762E7;-1642310.1550324115;1.5667364245670173E7;0.0
42.0;1.4303573693071604E7;-1417245.216001851;1.5720818909073455E7;0.0
43.0;1.464255877289232E7;-1450168.620035861;1.6092727392928181E7;0.0
44.0;1.495778166519419E7;-1673460.677365026;1.6631242342559215E7;0.0
45.0;1.5306210647743147E7;-1808919.3904976465;1.7115130038240794E7;0.0
46.0;1.5987145663749542E7;-2008704.8568187656;1.7995850520568307E7;0.0
47.0;1.6977033799999997E7;-2277538.5671260157;1.9254572367126014E7;0.0
48.0;1.6919268268449392E7;-3395191.7843893073;2.0314460052838698E7;0.0
49.0;1.6469213458544873E7;-3617957.9395716265;2.00871713981165E7;0.0
50.0;1.564785655649283E7;-3589810.5010397634;1.9237667057532594E7;0.0
51.0;1.5574128723583285E7;-3592218.380232006;1.916634710381529E7;0.0
52.0;1.5607785478405427E7;-2682922.594891761;1.8290708073297188E7;0.0
53.0;1.5570843394483302E7;-2382548.5155193615;1.7953391910002664E7;0.0
54.0;1.5539536595192725E7;-2042521.0247498953;1.758205761994262E7;0.0
55.0;1.5459669077785356E7;-2402001.0165376575;1.7861670094323013E7;0.0
56.0;1.5286672773877513E7;-2526226.1459775977;1.781289891985511E7;0.0
57.0;1.4987266317358078E7;-2916394.280758889;1.7903660598116968E7;0.0
58.0;1.497896197435655E7;-3496148.5081689735;1.8475110482525524E7;0.0
59.0;1.5304277699999996E7;-3712007.471409294;1.901628517140929E7;0.0
60.0;1.5162534829849336E7;-4464811.440890898;1.9627346270740233E7;0.0
61.0;1.4621019635599572E7;-5160106.247056249;1.978112588265582E7;0.0
62.0;1.3708044340750383E7;-5098967.800587239;1.8807012141337622E7;0.0
63.0;1.3811651670893818E7;-4813392.236184147;1.8625043907077964E7;0.0
64.0;1.405241748185017E7;-3536117.8208537106;1.758853530270388E7;0.0
65.0;1.4234226351099296E7;-3155064.2030132175;1.7389290554112513E7;0.0
66.0;1.4350901442296453E7;-3169559.5322155985;1.752046097451205E7;0.0
