"tick";"Traded Volume"
0.0;0.0
1.0;0.0
2.0;0.0
3.0;0.0
4.0;0.0
5.0;0.0
6.0;0.0
7.0;0.0
8.0;0.0
9.0;0.0
10.0;0.0
11.0;0.0
12.0;0.0
13.0;0.0
14.0;0.0
15.0;0.0
16.0;0.0
17.0;0.0
18.0;0.0
19.0;0.0
20.0;0.0
21.0;0.0
22.0;0.0
23.0;0.0
24.0;0.0
25.0;0.0
26.0;0.0
27.0;0.0
28.0;0.0
29.0;0.0
30.0;0.0
31.0;0.0
32.0;0.0
33.0;0.0
34.0;0.0
35.0;0.0
36.0;0.0
37.0;0.0
38.0;1209519.2153141676
39.0;1714351.1591037207
40.0;1857216.6039590188
41.0;1376989.84067879
42.0;1232346.5655300147
43.0;914312.089780644
44.0;1394475.2404926862
45.0;1070552.7645024383
46.0;1560713.9585352778
47.0;1872047.4023004002
48.0;2494697.2052617464
49.0;2398685.537366517
50.0;2583301.462701363
51.0;2644428.5645049657
52.0;2108580.0820098687
53.0;2867451.1999214846
54.0;1332102.9431027768
55.0;1885340.4039969933
56.0;2191331.572697588
57.0;1824826.05179772
58.0;2293537.766445349
59.0;2591416.4441376785
60.0;3095699.9723608685
61.0;3358904.154810099
62.0;2741363.319187098
63.0;2817152.2365764817
64.0;2694725.540616716
65.0;2328010.54548335
66.0;1874883.6240002166
67.0;1716929.0924192828
68.0;2081427.8472791796
69.0;1978308.3472867731
70.0;2464952.0533811776
71.0;2655914.4282832486
72.0;2180037.0634090155
73.0;2548240.580602238
74.0;2958989.2143541877
75.0;3016857.3927557846
76.0;2590064.485419863
77.0;2708073.1121394145
78.0;2649093.3911359976
79.0;2363268.909051491
80.0;2243549.5656337617
81.0;2066962.5908624209
82.0;3041101.1563622328
83.0;5010978.972737022
84.0;2578853.267779894
85.0;2857296.4299682113
86.0;4985152.591796413
87.0;3234261.25285558
88.0;2733246.6493215784
89.0;3340774.0021668384
90.0;2396302.1245905873
91.0;2005083.2582622985
92.0;1908673.0106137106
93.0;2263822.353563009
94.0;1795619.3802997656
95.0;2413941.3995550307
96.0;3419916.3220087932
97.0;3566971.5893851775
98.0;3200719.0909263967
99.0;3068644.1044281623
100.0;2511000.3491780087
101.0;3138921.6996327043
102.0;2112171.58365382
103.0;2054757.307249023
104.0;3003530.2524209786
105.0;3131814.954141204
106.0;1794925.6416269452
107.0;2183354.649217403
108.0;1944152.1046331297
109.0;2835284.6342078
110.0;3038677.9316733
111.0;2968140.9421785963
112.0;4025539.30282513
113.0;3466959.4525893414
114.0;2009204.214466332
115.0;2913815.2626653737
116.0;2537251.536504264
117.0;1475282.7527382723
118.0;1698197.3716134864
119.0;3711567.944366778
120.0;2706171.1034865496
121.0;3095996.5543241226
122.0;2113219.422008228
123.0;2868898.7764596334
124.0;2104274.493733813
125.0;3074724.277592082
126.0;2342897.04511909
127.0;1424251.594488937
128.0;2341460.8952328498
129.0;2478795.3988610688
130.0;1884238.9456797265
131.0;2037269.4556282384
132.0;3183206.161331275
133.0;3120586.5558632687
134.0;3284674.353394071
135.0;2278858.5214244532
136.0;3454366.9132748307
137.0;2273652.5752784354
138.0;2363975.252150601
139.0;1522198.9881042712
140.0;3359079.8724524803
141.0;1966073.2680028696
142.0;2370430.387377392
143.0;1829258.1769323729
144.0;3195011.949362398
145.0;3410466.2992720855
146.0;2200793.4689356876
147.0;2942728.4009292223
148.0;2398196.589431113
149.0;2424025.23888822
150.0;3855567.2292142194
151.0;1977823.8325642834
152.0;3610949.0026857276
153.0;1976130.9502598126
154.0;1823473.7892202763
155.0;1904729.6794997188
156.0;2678266.500857838
157.0;3693200.8742977185
158.0;2872893.610525547
159.0;1849660.4062419487
160.0;1656626.3095563431
161.0;2023529.1256575661
