"tick";"Total";"ObligatedPurchaser";"Producers";"Trader"
0.0;1534013.6177083256;-2073700.8822916744;3608514.5;-800.0
1.0;2292916.28451579;-2670361.6844327585;4965677.968948549;-2400.0
2.0;2295687.476098516;-2332010.4233293235;4626897.89942784;800.0
3.0;2157758.4254316906;-2023715.6334751612;4179874.058906852;1600.0
4.0;1831333.1194316035;-1793073.0598367818;3622806.1792683853;1600.0
5.0;1201271.2061446458;-1901004.670928338;3101475.877072984;800.0
6.0;684427.2469502462;-1986925.3439006137;2668952.59085086;2400.0
7.0;511894.84541859315;-1903204.5620262686;2414299.4074448617;800.0
8.0;641949.8067709235;-2347016.435572815;2988166.2423437387;800.0
9.0;948193.0783867962;-2750710.165655662;3700503.244042458;-1600.0
10.0;1924683.251773402;-3147781.105406086;5074064.357179488;-1600.0
11.0;3551701.000000001;-3385903.896423459;6937604.89642346;0.0
12.0;5404382.014767101;-2743343.3107510726;8146925.325518174;800.0
13.0;5445046.845400495;-2130186.630260874;7570833.47566137;4400.0
14.0;5183959.7423642315;-2337724.9486151724;7517284.690979404;4400.0
15.0;4899390.957152894;-2062168.0337987752;6958758.990951669;2800.0
16.0;4763653.421017861;-2100812.362527081;6861665.783544942;2800.0
17.0;4486866.307961842;-1894980.9845519417;6378647.292513784;3200.0
18.0;4260059.39407555;-1824398.3470842647;6081257.741159815;3200.0
19.0;4191353.8645583866;-1706301.8712527864;5894055.735811173;3600.0
20.0;4250703.8221696615;-1902603.8135852364;6150507.635754898;2800.0
21.0;4406705.390551395;-2119144.8587325113;6524650.249283906;1200.0
22.0;4973826.2781737745;-2441981.30190447;7415007.580078244;800.0
23.0;5916619.799999999;-2864785.7568106656;8781405.556810664;0.0
24.0;6525938.002700914;-3097487.755836597;9623025.75853751;400.0
25.0;6664685.4366876865;-3002675.6543282038;9666961.09101589;400.0
26.0;6351719.937041655;-2859133.780358989;9210453.717400644;400.0
27.0;6213034.283808272;-2820688.7921583434;9034123.075966615;-400.0
28.0;6036846.683887428;-2604793.1602587723;8642839.8441462;-1200.0
29.0;5743320.226727784;-1737127.0279065245;7480047.254634308;400.0
30.0;5552088.567180312;-1479067.385790989;7029955.952971301;1200.0
31.0;5529618.9912167825;-1695986.4011326132;7222805.392349396;2800.0
32.0;5660588.7169183185;-2028212.8983919283;7684401.615310247;4400.0
33.0;5829650.12659369;-2024237.3056471238;7848287.432240814;5600.0
34.0;6514740.335815922;-2030083.7788476713;8539224.114663593;5600.0
35.0;7564501.399999995;-2129341.1557920943;9687042.55579209;6800.0
36.0;8337585.50397538;-2459499.409553113;1.0789484913528493E7;7600.0
37.0;8507996.111188535;-2326112.126009062;1.0824108237197597E7;10000.0
38.0;8281327.71773213;-2133509.3280162425;1.0403637045748372E7;11200.0
39.0;8649447.09424346;-2006538.0308956897;1.0643185125139149E7;12800.0
40.0;9011256.880460536;-1803879.7986366693;1.0800336679097205E7;14800.0
41.0;9349826.29063776;-1525480.134803669;1.0859706425441429E7;15600.0
42.0;9632017.793071602;-1288744.9215335941;1.0904362714605195E7;16400.0
43.0;9995800.972892318;-1304959.4849032443;1.1283560457795562E7;17200.0
44.0;1.0310461765194193E7;-1470211.7221057098;1.1762673487299902E7;18000.0
45.0;1.0619061947743151E7;-1774656.1235068445;1.2374918071249995E7;18800.0
46.0;1.1257978163749538E7;-2019239.7631188252;1.3258417926868364E7;18800.0
47.0;1.2236303099999998E7;-2249262.0132616167;1.4465565113261614E7;20000.0
48.0;1.216449236844939E7;-3267085.9901570054;1.5411578358606394E7;20000.0
49.0;1.1692041158544868E7;-3688001.393374357;1.5360842551919226E7;19200.0
50.0;1.0896467856492829E7;-3505968.487635673;1.43824363441285E7;20000.0
51.0;1.0960761123583285E7;-3583756.0286419466;1.4524517152225232E7;20000.0
52.0;1.1132438978405429E7;-3078667.308826765;1.4191106287232194E7;20000.0
53.0;1.1249577994483305E7;-2626214.282383323;1.3855792276866628E7;20000.0
54.0;1.1311514095192727E7;-2199720.910205898;1.3491235005398626E7;20000.0
55.0;1.1294594477785362E7;-2060752.6986241546;1.3335747176409516E7;19600.0
56.0;1.112537957387751E7;-2290916.5472223703;1.339669612109988E7;19600.0
57.0;1.0838697017358078E7;-2956189.594110508;1.3776086611468585E7;18800.0
58.0;1.0808441574356554E7;-3517438.0228809826;1.4306679597237537E7;19200.0
59.0;1.1024388699999992E7;-3925485.0968854716;1.4930673796885462E7;19200.0
60.0;1.0773277229849342E7;-4826303.032924025;1.5580380262773367E7;19200.0
61.0;1.011837843559958E7;-5174744.975067189;1.527512341066677E7;18000.0
62.0;9092019.540750384;-4863231.067261303;1.3936850608011687E7;18400.0
63.0;8986978.270893827;-4248918.6890644515;1.3219896959958278E7;16000.0
64.0;9111075.48185017;-3879947.701314602;1.2973423183164772E7;17600.0
65.0;9171835.751099302;-3630900.0356429745;1.2787935786742276E7;14800.0
