"tick";"Traded Volume"
0.0;0.0
1.0;0.0
2.0;0.0
3.0;0.0
4.0;0.0
5.0;0.0
6.0;0.0
7.0;0.0
8.0;0.0
9.0;0.0
10.0;0.0
11.0;0.0
12.0;0.0
13.0;0.0
14.0;0.0
15.0;0.0
16.0;0.0
17.0;0.0
18.0;0.0
19.0;0.0
20.0;0.0
21.0;0.0
22.0;0.0
23.0;0.0
24.0;0.0
25.0;0.0
26.0;0.0
27.0;0.0
28.0;0.0
29.0;0.0
30.0;0.0
31.0;0.0
32.0;0.0
33.0;0.0
34.0;0.0
35.0;0.0
36.0;0.0
37.0;1890395.6393065385
38.0;1239773.783636787
39.0;1421134.171469928
40.0;1890160.2151188678
41.0;1534535.231917477
42.0;1473276.1350029453
43.0;1494651.4276840878
44.0;1485396.2168877623
45.0;1514877.6598323614
46.0;1589039.3916604766
47.0;1708594.5473873238
48.0;1952237.4440736843
49.0;2254992.89934137
50.0;2698970.9124758905
51.0;2272812.07141959
52.0;2595270.954460602
53.0;2264302.168032661
54.0;2270196.657822058
55.0;1613273.9808823369
56.0;1930863.7797140498
57.0;1977520.4922701442
58.0;2782267.0990285855
59.0;2019991.3308006078
60.0;2785565.1573678157
61.0;2505916.582929136
62.0;3210507.851110927
63.0;3934824.2144536595
64.0;2666008.4800994582
65.0;3058391.053882123
66.0;1548563.6504900302
67.0;2738223.6110773357
68.0;1577285.6969261656
69.0;2520340.778616037
70.0;2421832.7796665505
71.0;2340312.548529973
72.0;3407256.7621240565
73.0;2274624.8474591663
74.0;2791725.3189051384
75.0;2688301.1214408386
76.0;3638738.476133218
77.0;2992254.15547157
78.0;3944830.2016802365
79.0;2485668.074580777
80.0;2291112.4697340177
81.0;2169847.7647880027
82.0;2288774.2686098064
83.0;2339496.225012674
84.0;2770970.175473781
85.0;2784540.5878619985
86.0;2596008.4478036794
87.0;5369064.897343498
88.0;2626260.8765084543
89.0;5535598.956848978
90.0;2098589.429930809
91.0;2511044.356771918
92.0;2176601.214129726
93.0;2435836.0869528446
94.0;2585059.209364806
95.0;1890225.80089728
96.0;4113190.786597215
97.0;2734155.6273274017
98.0;2447920.376825869
99.0;2744933.426812011
100.0;5197554.871253045
101.0;3253972.012737281
102.0;3515950.419823617
103.0;3958693.5179891326
104.0;2257470.6944358116
105.0;4021669.5571931293
106.0;2631431.6443633726
107.0;2691022.96624223
108.0;3473583.7720747273
109.0;5189992.546442831
110.0;2945619.160538677
111.0;2576452.3615651
112.0;3992700.060699439
113.0;2872640.0300621726
114.0;2744646.1213245946
115.0;3356749.901633824
116.0;2054675.485745793
117.0;3235135.7633707356
118.0;3953465.732663376
119.0;3086655.0094341733
120.0;3488747.8094968507
121.0;3239155.7773045264
122.0;4144753.980870464
123.0;2847833.296734619
124.0;3380980.8319439846
125.0;2856229.846342588
126.0;2491679.207396131
127.0;2423322.777815425
128.0;2297774.6683666813
129.0;2664889.8408484715
130.0;1979970.7320583027
131.0;2778572.4637747747
132.0;4007828.8408482634
133.0;4149351.7072486044
134.0;3630278.0148042464
135.0;2933322.2290739287
136.0;2634925.700319396
137.0;3903695.844592337
138.0;2349571.4536003405
139.0;2162033.1518940097
140.0;2121171.8124856087
141.0;2281566.4812348434
142.0;2628022.7636122326
143.0;2859165.2819108483
144.0;3862099.948003376
145.0;3433832.5094863614
146.0;3148013.185459228
147.0;3187301.7036372307
148.0;2327853.6530553913
149.0;3326536.2888954617
150.0;2076055.409492646
151.0;2086454.2916274776
152.0;1964939.2430506663
153.0;2204162.675810569
154.0;2555071.794135365
155.0;2928876.536436584
156.0;2699555.261153428
157.0;3431264.528347627
158.0;3545014.885193203
159.0;3467928.612608592
160.0;2489429.211667424
161.0;2338377.3348715864
