"tick";"Total";"ObligatedPurchaser";"Producers";"Trader"
0.0;5274013.617708326;-2052950.882291674;7326964.5;0.0
1.0;6003618.8985678665;-2498473.0514321323;8502091.95;0.0
2.0;-948291.3598494073;-4345266.359849406;3396974.999999999;0.0
3.0;2974079.7254690975;-1837270.2745309018;4811349.999999999;0.0
4.0;3856423.721947745;-1635118.3780522565;5491542.1000000015;0.0
5.0;3495789.478585694;-1693742.3944143069;5189531.873000001;0.0
6.0;2771110.1763529517;-2193787.3663470475;4964897.542699999;0.0
7.0;3122491.9498416795;-2360670.7660883204;5483162.71593;0.0
8.0;2844467.0526438546;-2842047.4609431443;5686514.513586999;0.0
9.0;2815928.4377012476;-3814657.049527053;6630585.4872283;0.0
10.0;4618933.592540349;-4126325.9927961202;8745259.58533647;0.0
11.0;6262710.956365568;-4710763.1908862265;1.0973474147251794E7;0.0
12.0;8915683.0694588;-4139116.081951522;1.305479915141032E7;0.0
13.0;7537047.15079976;-4926037.843120032;1.2463084993919792E7;0.0
14.0;1.10058150491133E7;-2441615.3090639818;1.3447430358177282E7;0.0
15.0;1.0299064032953698E7;-2682170.9146162393;1.2981234947569938E7;0.0
16.0;1.181850126275753E7;-1392233.5931300218;1.3210734855887553E7;0.0
17.0;1.2078719549816314E7;-1174547.5013837349;1.3253267051200049E7;0.0
18.0;1.0442096345045444E7;-1468704.6483326198;1.1910800993378064E7;0.0
19.0;1.0267798058150606E7;-1883298.127934277;1.2151096186084883E7;0.0
20.0;9694940.741187083;-2139344.953789313;1.1834285694976395E7;0.0
21.0;9772018.745859278;-2481249.1303059305;1.225326787616521E7;0.0
22.0;1.1517703354975056E7;-1802823.3385901558;1.3320526693565212E7;0.0
23.0;1.300118709735193E7;-2333345.2095706877;1.5334532306922616E7;0.0
24.0;1.5106956856048932E7;-2458507.526354434;1.7565464382403366E7;0.0
25.0;1.4251256539688744E7;-3631814.1969107497;1.7883070736599494E7;0.0
26.0;1.6064419605969643E7;-3110906.9804621767;1.917532658643182E7;0.0
27.0;1.8258215948041778E7;-1735777.3210239608;1.9993993269065738E7;0.0
28.0;1.827059739912467E7;-1853675.3041966474;2.012427270332132E7;0.0
29.0;1.7771989154748414E7;-1583581.9700298996;1.935557112477831E7;0.0
30.0;1.7643709290057342E7;-1860100.761111613;1.9503810051168956E7;0.0
31.0;1.1147253452441627E7;-2046066.9152711346;1.3193320367712762E7;0.0
32.0;1.0969532366208903E7;-2224520.3478391673;1.319405271404807E7;0.0
33.0;1.2136866820471503E7;-2085763.3370401112;1.4222630157511614E7;0.0
34.0;1.277508407735192E7;-2428754.57199823;1.520383864935015E7;0.0
35.0;1.4755774146685574E7;-2384703.101466578;1.714047724815215E7;0.0
36.0;1.1309759303975381E7;-2224062.2960246187;1.35338216E7;0.0
37.0;1.1522648611188546E7;-2706489.045493306;1.4229137656681852E7;0.0
38.0;1.1320938917732136E7;-2978713.2225466804;1.4299652140278816E7;0.0
39.0;1.162652649424347E7;-2829000.8532982646;1.4455527347541733E7;0.0
40.0;1.1931148080460543E7;-2193994.264028778;1.4125142344489321E7;0.0
41.0;1.2205054090637762E7;-2206718.495297496;1.441177258593526E7;0.0
42.0;1.2483573693071606E7;-2032384.8086623333;1.4515958501733938E7;0.0
43.0;1.2822558772892322E7;-1973156.3972608217;1.4795715170153145E7;0.0
44.0;1.3137781665194198E7;-1896689.3954160835;1.5034471060610281E7;0.0
45.0;1.3486210647743156E7;-2081352.7683351506;1.5567563416078307E7;0.0
46.0;1.4167145663749544E7;-2346251.676799365;1.6513397340548908E7;0.0
47.0;1.51570338E7;-2757528.4754603435;1.7914562275460344E7;0.0
48.0;1.5099268268449392E7;-4068172.99349925;1.916744126194864E7;0.0
49.0;1.4649213458544869E7;-4085155.8059568517;1.873436926450172E7;0.0
50.0;1.3827856556492833E7;-4132980.826668011;1.7960837383160844E7;0.0
51.0;1.375412872358329E7;-4442994.103935784;1.8197122827519074E7;0.0
52.0;1.3787785478405438E7;-4074067.789430383;1.7861853267835822E7;0.0
53.0;1.375084339448332E7;-3756144.192407188;1.7506987586890507E7;0.0
54.0;1.3719536595192734E7;-3063037.7570204036;1.6782574352213137E7;0.0
55.0;1.3639669077785365E7;-3147099.099733532;1.6786768177518897E7;0.0
56.0;1.346667277387752E7;-3792453.5695132418;1.7259126343390763E7;0.0
57.0;1.316726631735809E7;-4133219.7441416397;1.730048606149973E7;0.0
58.0;1.3158961974356556E7;-4384783.807294367;1.7543745781650923E7;0.0
59.0;1.3484277700000007E7;-4970215.198081282;1.8454492898081288E7;0.0
60.0;1.3342534829849342E7;-5282665.548020778;1.862520037787012E7;0.0
