"Cert price";"Expected price";"Floor";"Roof";"Powerprice_N";"tick";"CertificateValue_Lon_Prod";"CertificateValue_Prod";"CertificateValue_Purch"
19.09;15.049399025575257;0.0;250.0;31.2;0.0;0.0;0.0;0.0
17.36;17.987060801901617;0.0;250.0;31.2;1.0;100.03944263622412;19.224540671196664;39.34633001334548
23.55;18.070451736445516;0.0;250.0;31.2;2.0;97.88907519947936;25.317568593311453;44.69973172871382
17.74;18.930068530557417;0.0;250.0;31.2;3.0;134.7256076989808;139.55853371076554;108.6876216012015
17.26;18.44392316051995;0.0;250.0;31.2;4.0;113.87002911782386;19.064867550259304;41.52987840014818
17.36;17.440358755516037;0.0;250.0;31.2;5.0;107.00119987841484;19.147879161686046;39.81065314770293
18.72;17.785278113748213;0.0;250.0;31.2;6.0;107.88559238884072;20.490385744009142;41.05298858638492
19.11;19.404097031118663;0.0;250.0;31.2;7.0;107.22215171586588;20.89287226920839;41.44155871136735
19.84;19.696873356426607;0.0;250.0;31.2;8.0;106.62307072052734;21.648708861291592;42.16280729099244
21.1;21.394864886999056;0.0;250.0;31.2;9.0;115.74034687015298;22.936629449879312;43.35751747562609
21.66;21.67195250539174;0.0;250.0;31.2;10.0;121.47953092372202;23.523766080657776;54.00589371718607
22.77;23.62368421111017;0.0;250.0;31.2;11.0;119.36650981287728;24.64994113418544;49.77511659518605
22.3823529411765;22.40768272652943;0.0;250.0;37.35294117647059;12.0;119.08839628564641;24.244903160009468;44.801999183737784
23.7450980392157;21.794168597230986;0.0;250.0;37.35294117647059;13.0;112.95702346267251;25.6006759323085;46.03559905483326
21.8921568627451;23.514928554170826;0.0;250.0;37.35294117647059;14.0;114.93901976905065;23.752932531780598;44.65251621061248
23.3039215686275;20.780397457611617;0.0;250.0;37.35294117647059;15.0;112.4161593883283;25.10287547903441;45.85586815314478
20.4019607843137;22.42480159940742;0.0;250.0;37.35294117647059;16.0;112.25925088961529;22.218708251003722;43.54876483628761
18.9705882352941;21.86068839424618;0.0;250.0;37.35294117647059;17.0;109.64952846245576;20.786613431610355;42.352110087958735
19.9901960784314;21.260404900123888;0.0;250.0;37.35294117647059;18.0;109.09663542329885;21.79075848506358;43.29145592246
19.8725490196078;21.230505712163062;0.0;250.0;37.35294117647059;19.0;112.72094373406325;21.696733149711072;43.375724493694754
21.1862745098039;20.1890704430065;0.0;250.0;37.35294117647059;20.0;115.28614639001573;23.03110212468752;44.648367215014765
21.3333333333333;22.22034013757927;0.0;250.0;37.35294117647059;21.0;120.78063882431215;23.220138256877668;44.93554561736619
20.4019607843137;21.635365697251313;0.0;250.0;37.35294117647059;22.0;118.42982998852439;22.330744999592152;44.242837389367494
19.9607843137255;20.832563042811;0.0;250.0;37.35294117647059;23.0;117.3280092302452;21.946261623155433;43.97930658112443
18.5601691657055;20.78831054225341;0.0;250.0;29.796232218377547;24.0;117.17939320310272;20.603524373123886;42.90702138794519
19.963475586313;16.861313682329225;0.0;250.0;29.796232218377547;25.0;117.30739734407602;21.985851771259675;44.28189775314909
21.5494040753556;18.630950717248638;0.0;250.0;29.796232218377547;26.0;121.05162589438976;23.533216509091805;45.9342387212688
18.5890042291426;22.270540163119822;0.0;250.0;29.796232218377547;27.0;125.5924137097408;20.578265253404965;43.88050500857167
18.6082276047674;20.696281429004685;0.0;250.0;29.796232218377547;28.0;122.05896094497675;20.551697839833036;43.93356155785278
18.8485198000769;19.098264177843927;0.0;250.0;29.796232218377547;29.0;121.60797471977325;20.771852844166823;44.25624551309036
18.4159938485198;16.847761485735372;0.0;250.0;29.796232218377547;30.0;123.20365400264559;20.350010582995367;44.083617233943365
18.9638600538255;17.987995020643847;0.0;250.0;29.796232218377547;31.0;123.5472264490393;20.918906675889556;44.725048082577025
19.2714340638216;18.221807927712344;0.0;250.0;29.796232218377547;32.0;127.02185569091466;21.271481112218474;45.19697719090856
18.8677431757017;19.557832493364366;0.0;250.0;29.796232218377547;33.0;129.26365028043756;20.923957755291624;45.09353169446842
18.4928873510188;17.602135786376788;0.0;250.0;29.796232218377547;34.0;130.1606433526933;20.59784718618212;45.01904226542863
18.4928873510188;18.151631915234567;0.0;250.0;29.796232218377547;35.0;134.02225723328993;20.656308954047795;45.24320083353432
14.946887029969027;18.523777594390292;19.879155885404284;74.71431516862752;31.05536332179931;36.0;93.84726441526963;11.893084628159885;28.408554783332917
16.15776773393691;16.71527687078002;19.879155885404284;74.71431516862752;31.05536332179931;37.0;97.7118455492328;12.775804938426875;29.414023623393753
16.61826527737389;17.44020528201195;19.879155885404284;74.71431516862752;31.05536332179931;38.0;97.91190978866766;13.074376861740182;29.870230894147962
16.947015282714652;16.682574961449713;19.879155885404284;74.71431516862752;31.05536332179931;39.0;99.28750548754378;13.258405042180046;30.267158928052364
16.817870209205253;15.282355664230488;19.879155885404284;74.71431516862752;31.05536332179931;40.0;100.26034936970582;13.155655399895066;30.3198176629842
16.4375639216047;16.6652593025663;19.879155885404284;74.71431516862752;31.05536332179931;41.0;100.61858685854291;12.886431175334923;30.231613746188042
16.60217421884703;14.301276829447373;19.879155885404284;74.71431516862752;31.05536332179931;42.0;100.86786373736632;13.001742505199688;30.458091390069786
16.675725477873602;16.023624786601697;19.879155885404284;74.71431516862752;31.05536332179931;43.0;103.8147841464394;13.069036731041164;30.6657920807525
16.70277916872908;16.70277916872908;19.879155885404284;74.71431516862752;31.05536332179931;44.0;105.21716654645104;13.115696160622468;30.8401270111494
