"Cert price";"Expected price";"Floor";"Roof";"Powerprice_N";"tick"
16.7;16.7;0.0;500.0;29.84;0.0
17.535;16.7;0.0;500.0;29.84;1.0
19.288500000000003;17.535;0.0;500.0;29.84;2.0
20.252925000000005;19.288500000000003;0.0;500.0;29.84;3.0
20.881813311601565;19.909520284754016;0.0;500.0;29.84;4.0
21.96985495804943;20.67029121153255;0.0;500.0;29.84;5.0
22.929003219338774;21.67596115388996;0.0;500.0;29.84;6.0
24.152515269837743;22.632936597461196;0.0;500.0;29.84;7.0
25.470972407560797;23.804565509280444;0.0;500.0;29.84;8.0
26.617171173530476;25.082856941641886;0.0;500.0;29.84;9.0
27.91799772578739;26.262102983233394;0.0;500.0;29.84;10.0
29.495026430143263;27.539296912338813;0.0;500.0;29.84;11.0
29.256756654286168;29.04206766953571;0.0;500.0;37.83;12.0
31.202684530894736;29.202263856624505;0.0;500.0;37.83;13.0
32.40914688830523;30.771538064373736;0.0;500.0;37.83;14.0
33.70952759058009;31.99672385319881;0.0;500.0;37.83;15.0
34.01610585067834;33.326752361514956;0.0;500.0;37.83;16.0
37.08866024916624;33.85544556637073;0.0;500.0;37.83;17.0
38.442835147094236;36.36056850479794;0.0;500.0;37.83;18.0
40.15893549209081;37.91834217364893;0.0;500.0;37.83;19.0
42.7720040702894;39.670285576623115;0.0;500.0;37.83;20.0
44.194236223351446;42.05192055821951;0.0;500.0;37.83;21.0
46.14006163863951;43.685934486027044;0.0;500.0;37.83;22.0
48.16524640843042;45.59384621244036;0.0;500.0;37.83;23.0
50.163559475981614;47.56448309486196;0.0;500.0;32.0;24.0
52.05958854597295;49.563477459971956;0.0;500.0;32.0;25.0
55.07712319119465;51.484899528275136;0.0;500.0;32.0;26.0
57.510431758809915;54.25152091707757;0.0;500.0;32.0;27.0
58.84783620637867;56.74149722657454;0.0;500.0;32.0;28.0
62.16594876186301;58.37150861917752;0.0;500.0;32.0;29.0
60.47459471395131;61.30991776297818;0.0;500.0;32.0;30.0
60.62410068989725;60.63370665004044;0.0;500.0;32.0;31.0
66.66109439511132;60.70693773699689;0.0;500.0;32.0;32.0
67.7443337622571;65.26191931804541;0.0;500.0;32.0;33.0
65.45466478104314;67.0766987052984;0.0;500.0;32.0;34.0
66.5391474621611;65.90632256878494;0.0;500.0;32.0;35.0
66.5918239077822;66.44836312812478;0.0;500.0;30.5;36.0
66.47251953616686;66.50453812600765;0.0;500.0;30.5;37.0
66.55128704480852;66.496314444883;0.0;500.0;30.5;38.0
66.51109578517344;66.54143576337638;0.0;500.0;30.5;39.0
66.50211931475371;66.51488227357389;0.0;500.0;30.5;40.0
59.85362716204006;66.50697008720661;0.0;500.0;30.5;41.0
54.87724055412637;61.38373730705727;0.0;500.0;30.5;42.0
50.272259458772616;56.482879623966646;0.0;500.0;30.5;43.0
41.985559226122604;51.67655975970261;0.0;500.0;30.5;44.0
38.77388258592433;44.21109749655771;0.0;500.0;30.5;45.0
34.06423618619371;40.08709680624119;0.0;500.0;30.5;46.0
31.53992490884701;35.37029939006936;0.0;500.0;30.5;47.0
