"Cert price";"Expected price";"Floor";"Roof";"Powerprice_N";"tick";"CertificateValue_Lon_Prod";"CertificateValue_Prod";"CertificateValue_Purch"
20.2;15.049399025575257;0.0;250.0;31.2;0.0;0.0;0.0;0.0
18.37;18.819532888302817;0.0;250.0;31.2;1.0;105.65482952538375;20.22658776678561;40.2476219289031
24.92;19.067603489288906;0.0;250.0;31.2;2.0;108.29795923047489;26.679274336651854;45.950050732574574
18.77;20.019995440743195;0.0;250.0;31.2;3.0;136.5508650000367;179.28365658096848;113.45639634245289
18.26;19.51249216849176;0.0;250.0;31.2;4.0;120.97758335962538;20.054814374515914;60.72299162767134
18.37;18.450802314952323;0.0;250.0;31.2;5.0;113.76446008053068;20.14794605189528;42.82202345401311
19.81;18.818958084604642;0.0;250.0;31.2;6.0;113.30964488486151;21.569333630972512;43.46864014016442
20.22;20.533441784387346;0.0;250.0;31.2;7.0;114.68095738674566;21.992464466750267;42.42705482257968
20.99;20.84153174793052;0.0;250.0;31.2;8.0;110.90758135284482;22.787971993610427;44.91675905988451
22.33;22.635773805335273;0.0;250.0;31.2;9.0;116.00957599866277;24.150820613170723;44.39887900025044
22.92;22.933716507951196;0.0;250.0;31.2;10.0;116.43654407633524;24.762421886981024;46.66421568100393
24.09;24.99820112011303;0.0;250.0;31.2;11.0;114.50980567199973;25.948019111914203;46.08146793375118
23.71;23.707881878162922;0.0;250.0;37.35294117647059;12.0;115.17791842370953;25.548380087955262;45.85977437307476
25.15;23.080011334327562;0.0;250.0;37.35294117647059;13.0;113.68582837610948;26.98540129093059;47.20495310388629
23.19;24.90531193415055;0.0;250.0;37.35294117647059;14.0;116.38937047591904;25.035331717290212;45.76310779411976
24.68;22.011493632775398;0.0;250.0;37.35294117647059;15.0;110.59029977874326;26.458941235739008;46.984532886183565
21.61;23.749946193030965;0.0;250.0;37.35294117647059;16.0;108.26337861594494;23.408302097257103;44.51914138109119
20.09;23.15441610823593;0.0;250.0;37.35294117647059;17.0;108.91915438378255;21.89003588167415;43.26285087922019
21.17;22.51593499666244;0.0;250.0;37.35294117647059;18.0;109.65100496981825;22.954084109803603;44.25602978303338
21.05;22.48370652945984;0.0;250.0;37.35294117647059;19.0;112.01625924562364;22.856158676466023;44.31617930525004
22.44;21.38412076360768;0.0;250.0;37.35294117647059;20.0;114.5952114562527;24.264366178425643;45.64109198180788
22.59;23.535345212301117;0.0;250.0;37.35294117647059;21.0;116.79884716524884;24.45389329208372;45.91163925410134
21.61;22.911323705550213;0.0;250.0;37.35294117647059;22.0;117.77340345683625;23.518710998262044;45.211852528484954
21.14;22.064836557360177;0.0;250.0;37.35294117647059;23.0;116.85718639939017;23.103781603581865;44.91320650804379
20.06;22.016807123771486;0.0;250.0;29.796232218377547;24.0;116.29534794316882;22.07576090049491;44.10117316829833
21.93;18.126118384117184;0.0;250.0;29.796232218377547;25.0;114.15213056587233;23.917053186445912;45.84721174189808
20.47;20.371902056299408;0.0;250.0;29.796232218377547;26.0;116.58409732217444;22.456903569555138;44.9024887723787
19.48;21.856465023351547;0.0;250.0;29.796232218377547;27.0;113.86382264490497;21.425063505342546;44.18061818440731
19.75;21.302294135776453;0.0;250.0;29.796232218377547;28.0;112.42998535577506;21.654366530565255;44.493481462190324
19.58;20.1073935666875;0.0;250.0;29.796232218377547;29.0;112.84414187820819;21.47567642804739;44.53395033708941
19.54;17.560176310762373;0.0;250.0;29.796232218377547;30.0;115.86516913996206;21.442787191219285;44.70701279387176
20.2;19.008555507670437;0.0;250.0;29.796232218377547;31.0;117.96738023078593;22.122583917810765;45.470921636489905
20.75;19.373289182519994;0.0;250.0;29.796232218377547;32.0;129.19428317877714;22.73340890324772;46.474704390530796
