"tick";"Total";"ObligatedPurchaser";"Producers";"Trader"
0.0;6374013.617708326;-2052950.882291674;8426964.5;0.0
1.0;8460341.503925646;-2222052.296074353;1.0682393799999999E7;0.0
2.0;-310688.7544916277;-4068845.6044916273;3758156.8499999996;0.0
3.0;3416892.6967476984;-1763048.6532523013;5179941.35;0.0
4.0;4286463.843535787;-1528014.5304642143;5814478.374000002;0.0
5.0;4308379.217062928;-1683072.7893370737;5991452.006400001;0.0
6.0;2906438.425177409;-2158192.2465825914;5064630.67176;0.0
7.0;2703345.407520292;-2467911.5732297082;5171256.98075;0.0
8.0;1058587.0227084379;-2877181.268241562;3935768.29095;0.0
9.0;1008538.9040335049;-3707213.0156464954;4715751.91968;0.0
10.0;1735384.5910952827;-4629892.432591717;6365277.023686999;0.0
11.0;2886112.22691244;-6083852.796580558;8969965.023492998;0.0
12.0;7520122.592417309;-4109537.4403202906;1.16296600327376E7;0.0
13.0;5455830.624317272;-3970264.1700314973;9426094.794348769;0.0
14.0;7605522.814034278;-2993027.325132893;1.0598550139167171E7;0.0
15.0;7809255.398446023;-2709509.9591260194;1.0518765357572043E7;0.0
16.0;9608286.375077438;-1397818.466366736;1.1006104841444174E7;0.0
17.0;1.0264763097910773E7;-1205417.8326333973;1.147018093054417E7;0.0
18.0;8801353.439198872;-1474427.0205434724;1.0275780459742345E7;0.0
19.0;8657351.765514309;-1538731.891260065;1.0196083656774374E7;0.0
20.0;7211423.640966985;-1997889.0422342496;9209312.683201235;0.0
21.0;6272507.588339454;-2348076.275822459;8620583.864161912;0.0
22.0;7901217.974186372;-2027966.341456074;9929184.315642446;0.0
23.0;1.0008103534807408E7;-2086208.4392531929;1.20943119740606E7;0.0
24.0;1.1986111809046265E7;-2570751.6745933336;1.4556863483639598E7;0.0
25.0;8585308.106349312;-3496841.3809329057;1.2082149487282217E7;0.0
26.0;1.0553149930464983E7;-2449916.236611304;1.3003066167076286E7;0.0
27.0;1.1508881899705753E7;-2124164.708978452;1.3633046608684205E7;0.0
28.0;1.0565739271091757E7;-2025760.6526266928;1.259149992371845E7;0.0
29.0;9693937.343687478;-1879013.8601608681;1.1572951203848347E7;0.0
30.0;8339238.989063019;-1552029.7133160061;9891268.702379026;0.0
31.0;7454173.038332495;-1860803.4930773107;9314976.531409806;0.0
32.0;7324939.482965192;-2296033.72476167;9620973.207726862;0.0
33.0;8311058.932064783;-2323303.5797507707;1.0634362511815554E7;0.0
34.0;9905177.145316508;-2243240.311542278;1.2148417456858786E7;0.0
35.0;1.2702934672327599E7;-2267436.364080141;1.4970371036407739E7;0.0
36.0;1.3129759303975385E7;855937.703975382;1.2273821600000003E7;0.0
37.0;1.3342648611188544E7;-1266734.9888114613;1.4609383600000005E7;0.0
38.0;1.3140938917732136E7;-2057937.4669537;1.5198876384685837E7;0.0
39.0;1.3446526494243464E7;-2033300.4313386497;1.5479826925582113E7;0.0
40.0;1.3751148080460545E7;-1599452.5411625511;1.5350600621623095E7;0.0
41.0;1.4025054090637764E7;-1504223.1903065394;1.5529277280944303E7;0.0
42.0;1.4303573693071608E7;-1428610.0223426812;1.573218371541429E7;0.0
43.0;1.4642558772892328E7;-1766201.852741319;1.6408760625633648E7;0.0
44.0;1.4957781665194197E7;-1764002.9199467637;1.672178458514096E7;0.0
45.0;1.530621064774316E7;-2365405.6728953626;1.7671616320638523E7;0.0
