"tick";"Total";"ObligatedPurchaser";"Producers";"Trader"
0.0;5274013.617708326;-2052950.882291674;7326964.5;0.0
1.0;6374474.748005378;-2677894.6419946207;9052369.389999999;0.0
2.0;-880924.9994118968;-4524687.950411896;3643762.9509999994;0.0
3.0;3125353.9956965754;-1869164.455303424;4994518.450999999;0.0
4.0;4383481.710274056;-1512544.4007259454;5896026.111000001;0.0
5.0;4212567.696785943;-1798226.6417140577;6010794.338500001;0.0
6.0;3163207.7355222697;-2342872.3463877314;5506080.081910001;0.0
7.0;2672643.8208509875;-2534451.1217890126;5207094.94264;0.0
8.0;911057.7079861746;-2951081.568299826;3862139.2762860004;0.0
9.0;686851.4933523368;-3531486.4542236626;4218337.947575999;0.0
10.0;2035928.6847126451;-4152243.8072753544;6188172.4919879995;0.0
11.0;2948452.729710345;-5244832.669856455;8193285.3995668;0.0
12.0;5344838.196137931;-4530706.13783207;9875544.333970001;0.0
13.0;4699142.484918985;-5107141.594947333;9806284.079866318;0.0
14.0;7657072.432225269;-2749632.559276049;1.0406704991501318E7;0.0
15.0;7247941.588141873;-3333038.031950035;1.0580979620091908E7;0.0
16.0;9726957.972339936;-1620437.3327519712;1.1347395305091906E7;0.0
17.0;1.0100128642775878E7;-1214598.2748699782;1.1314726917645857E7;0.0
18.0;9579479.653411064;-1434866.6556653513;1.1014346309076415E7;0.0
19.0;9835970.129182925;-1423435.8442605238;1.1259405973443449E7;0.0
20.0;7935843.638380804;-2030232.3608715509;9966075.999252355;0.0
21.0;7394146.4201426525;-2393219.545305908;9787365.96544856;0.0
22.0;9197008.083630709;-1814756.269593611;1.101176435322432E7;0.0
23.0;1.0850874569403008E7;-2158035.3843286918;1.3008909953731699E7;0.0
24.0;1.2351451184487656E7;-2378901.931289077;1.4730353115776733E7;0.0
25.0;9939392.924631022;-3675688.628605012;1.3615081553236034E7;0.0
26.0;1.0912048114542631E7;-2537706.5649566445;1.3449754679499276E7;0.0
27.0;1.1515528611615537E7;-1989445.9490213424;1.350497456063688E7;0.0
28.0;1.2042783389847007E7;-1961570.5063213818;1.4004353896168388E7;0.0
29.0;1.1642492862092538E7;-1851114.8630367967;1.3493607725129334E7;0.0
30.0;1.1010144130976252E7;-1421935.6772758914;1.2432079808252143E7;0.0
31.0;9803893.957414601;-1866579.5628451009;1.1670473520259703E7;0.0
32.0;8439897.49487637;-2276545.111154596;1.0716442606030965E7;0.0
33.0;9275061.923483433;-2130581.786183655;1.1405643709667088E7;0.0
34.0;1.075789844916555E7;-2062050.2957189914;1.2819948744884541E7;0.0
35.0;1.2885444465416137E7;-2220207.0201939656;1.5105651485610103E7;0.0
36.0;1.3129759303975381E7;855937.7039753826;1.2273821599999998E7;0.0
37.0;1.3342648611188537E7;-1266734.9888114606;1.4609383599999998E7;0.0
38.0;1.314093891773213E7;-2168083.08069048;1.5309021998422612E7;0.0
39.0;1.3446526494243467E7;-2107146.0019544666;1.5553672496197933E7;0.0
40.0;1.3751148080460543E7;-2087082.5116987566;1.58382305921593E7;0.0
41.0;1.4025054090637764E7;-1842220.6655002686;1.5867274756138032E7;0.0
42.0;1.4303573693071611E7;-1440617.98154517;1.5744191674616782E7;0.0
43.0;1.4642558772892322E7;-1398991.7220895314;1.6041550494981853E7;0.0
44.0;1.4957781665194197E7;-1509529.8044372636;1.646731146963146E7;0.0
45.0;1.530621064774315E7;-1846847.5322972273;1.7153058180040378E7;0.0
46.0;1.5987145663749542E7;-2210094.574710123;1.8197240238459665E7;0.0
47.0;1.69770338E7;-2588346.8817601455;1.9565380681760147E7;0.0
48.0;1.6919268268449392E7;-3579426.349421022;2.0498694617870413E7;0.0
49.0;1.6469213458544876E7;-3694695.5519773625;2.016390901052224E7;0.0
50.0;1.5647856556492824E7;-3793844.142230961;1.9441700698723786E7;0.0
51.0;1.5574128723583292E7;-3798304.2703596363;1.9372432993942928E7;0.0
52.0;1.5607785478405425E7;-2906137.1335397866;1.8513922611945212E7;0.0
53.0;1.5570843394483313E7;-2739465.770882636;1.831030916536595E7;0.0
54.0;1.5539536595192723E7;-2332356.8875525147;1.7871893482745238E7;0.0
55.0;1.5459669077785362E7;-2621637.1519372268;1.808130622972259E7;0.0
56.0;1.5286672773877516E7;-3035959.916803122;1.8322632690680638E7;0.0
57.0;1.498726631735809E7;-3702188.567872194;1.8689454885230284E7;0.0
58.0;1.497896197435655E7;-3720384.218216053;1.8699346192572605E7;0.0
59.0;1.5304277699999996E7;-4101175.7282240386;1.9405453428224035E7;0.0
60.0;1.5162534829849336E7;-4684416.033259123;1.984695086310846E7;0.0
61.0;1.4621019635599582E7;-5483004.687788187;2.0104024323387768E7;0.0
62.0;1.37080443407504E7;-5305937.301294901;1.90139816420453E7;0.0
63.0;1.3811651670893826E7;-4667097.27956587;1.8478748950459696E7;0.0
64.0;1.4052417481850175E7;-3659672.942935569;1.7712090424785744E7;0.0
65.0;1.4234226351099296E7;-3849530.4052405045;1.80837567563398E7;0.0
66.0;1.4350901442296462E7;-3698979.082837911;1.8049880525134373E7;0.0
67.0;1.4337839176589515E7;-3405984.4865001226;1.7743823663089637E7;0.0
68.0;1.4139885870499015E7;-3658641.9774342207;1.7798527847933237E7;0.0
69.0;1.3788190296298197E7;-3796356.3744368316;1.7584546670735028E7;0.0
70.0;1.3670429970122462E7;-4493244.003550628;1.816367397367309E7;0.0
71.0;1.37530175E7;-5452641.636255588;1.920565913625559E7;0.0
72.0;1.3389425449311197E7;-6575582.79805442;1.9965008247365616E7;0.0
73.0;1.2630593320343472E7;-7187019.227652182;1.9817612547995653E7;0.0
74.0;1.1508846011097062E7;-7101530.425296046;1.861037643639311E7;0.0
75.0;1.1565197488506492E7;-6976149.357670132;1.8541346846176624E7;0.0
76.0;1.1798327020927195E7;-6208594.151331737;1.8006921172258932E7;0.0
77.0;1.1988213903986339E7;-5346466.154061712;1.733468005804805E7;0.0
78.0;1.211548062875487E7;-4881181.600265052;1.699666222901992E7;0.0
79.0;1.20768752420888E7;-4636814.751367494;1.6713689993456295E7;0.0
80.0;1.1807530288629528E7;-4501169.638122376;1.6308699926751904E7;0.0
81.0;1.1344756418596882E7;-5288662.778978682;1.6633419197575565E7;0.0
82.0;1.115583312313203E7;-6560157.132502722;1.771599025563475E7;0.0
83.0;1.1154873899999995E7;-7445194.773929992;1.8600068673929986E7;0.0
84.0;1.068962835862884E7;-7883581.313457743;1.857320967208658E7;0.0
85.0;9814622.908376906;-8203258.227690858;1.8017881136067763E7;0.0
86.0;8589757.46393311;-8682138.148331806;1.7271895612264916E7;0.0
87.0;8531336.138238328;-8973731.608601319;1.7505067746839646E7;0.0
88.0;8772432.927163688;-8115538.411373505;1.6887971338537194E7;0.0
89.0;8983238.61977864;-7600778.036842844;1.6584016656621484E7;0.0
90.0;9111574.30516681;-7062827.179529383;1.6174401484696195E7;0.0
91.0;9042488.502891269;-6832555.9315233845;1.5875044434414653E7;0.0
92.0;8692442.770209212;-7034844.661562541;1.5727287431771751E7;0.0
93.0;8117516.468572293;-7643153.7132287165;1.576067018180101E7;0.0
94.0;7729255.649841424;-8507529.311820013;1.6236784961661438E7;0.0
95.0;7488179.1000000015;-9777750.297722444;1.7265929397722445E7;0.0
96.0;6953733.987147674;-1.0984793803734928E7;1.7938527790882602E7;0.0
97.0;5998247.534688136;-1.15524474908704E7;1.7550695025558535E7;0.0
98.0;4747478.4819253795;-1.209832369488344E7;1.684580217680882E7;0.0
99.0;4741883.608373176;-1.2423809660493515E7;1.716569326886669E7;0.0
100.0;4955973.989937451;-1.1541081271160264E7;1.6497055261097714E7;0.0
101.0;5152676.862013189;-1.038142621382538E7;1.553410307583857E7;0.0
102.0;5273468.488662414;-9508650.593624584;1.4782119082286999E7;0.0
103.0;5186371.103412082;-8414530.564703036;1.3600901668115119E7;0.0
104.0;4805475.031336899;-6554001.091560938;1.1359476122897837E7;0.0
105.0;4179551.775665991;-6052697.520100504;1.0232249295766495E7;0.0
106.0;3720693.693619526;-7544933.778360237;1.1265627471979763E7;0.0
107.0;3396985.8999999976;-8061094.2186214505;1.1458080118621448E7;0.0
108.0;3048928.3907776177;-9393143.422346152;1.244207181312377E7;0.0
109.0;2301950.0159387644;-8476609.296220502;1.0778559312159266E7;0.0
110.0;1217674.0655745286;-1.0025433485079406E7;1.1243107550653934E7;0.0
111.0;1361769.1635051444;-9791820.778910894;1.1153589942416038E7;0.0
112.0;1712102.8779524025;-9144608.92484074;1.0856711802793143E7;0.0
113.0;2040976.8096130732;-8091078.442960372;1.0132055252573445E7;0.0
114.0;2284543.3432210237;-7466516.7864249665;9751060.12964599;0.0
115.0;2320803.2087922525;-7001878.468349233;9322681.677141486;0.0
116.0;2067243.7841040157;-8019778.339544697;1.0087022123648712E7;0.0
117.0;1583105.8885949086;-8747480.753908994;1.0330586642503902E7;0.0
118.0;1266422.593767766;-9765740.824488023;1.103216341825579E7;0.0
119.0;1078197.4999999888;-1.1047060912684245E7;1.2125258412684234E7;0.0
120.0;868796.2469436247;-1.2190735001538489E7;1.3059531248482114E7;0.0
121.0;182974.9213670008;-1.0252544587289685E7;1.0435519508656686E7;0.0
122.0;-817677.7713986747;-1.034307106016625E7;9525393.288767576;0.0
123.0;-593693.6643926799;-1.0011670977766734E7;9417977.313374054;0.0
124.0;-167265.82582250796;-9079479.044266474;8912213.218443966;0.0
125.0;243035.01648665592;-8297686.920895023;8540721.93738168;0.0
126.0;558879.575291248;-7137855.354694674;7696734.929985922;0.0
127.0;658686.5903466167;-7032804.330897636;7691490.9212442525;0.0
128.0;463251.0960088363;-6822167.1262254175;7285418.222234254;0.0
129.0;42007.71960464213;-7134320.508900426;7176328.228505068;0.0
130.0;-227438.8245089529;-8048372.701143368;7820933.876634415;0.0
131.0;-382521.70000000857;-9397051.10289011;9014529.402890101;0.0
132.0;-557866.9236121383;-1.0561737869663138E7;1.0003870946051E7;0.0
133.0;-1238208.7204499021;-1.0647565330498293E7;9409356.61004839;0.0
134.0;-2130298.746016834;-1.0887701959990077E7;8757403.213973243;0.0
135.0;-1739391.7201671079;-9072655.261774024;7333263.541606916;0.0
136.0;-1102687.5447043553;-8811513.609895403;7708826.065191047;0.0
137.0;-411383.82472659554;-8520043.036244314;8108659.211517719;0.0
138.0;206594.81178584415;-7415278.020947468;7621872.832733312;0.0
139.0;796105.0956413662;-5256043.924036988;6052149.019678354;0.0
140.0;1065337.2842489146;-4571422.308188034;5636759.592436949;0.0
141.0;1172370.0024578525;-5138945.9737095535;6311315.976167406;0.0
142.0;1439182.5039082766;-4978933.73720418;6418116.241112457;0.0
143.0;1786224.5999999866;-5115580.898461592;6901805.498461579;0.0
144.0;2150181.343605576;-5445031.841666271;7595213.185271847;0.0
145.0;2110228.9520014552;-4899310.248901251;7009539.200902706;0.0
146.0;1840956.130432872;-4796172.721003728;6637128.8514366;0.0
147.0;2798536.358598901;-4407033.759146754;7205570.117745655;0.0
148.0;3970752.1063650097;-3972091.6279144227;7942843.734279432;0.0
149.0;5157596.356141707;-3525397.3934330554;8682993.749574762;0.0
150.0;6231377.467542185;-2780288.4862672994;9011665.953809485;0.0
151.0;7051454.558237601;-2569711.924161073;9621166.482398674;0.0
152.0;7545349.720896343;-2833239.1831680667;1.037858890406441E7;0.0
153.0;7803229.584023096;-3312075.3345700596;1.1115304918593155E7;0.0
154.0;8141242.236968812;-3510862.412175194;1.1652104649144005E7;0.0
